figure_001: page 3, caption/context, [NEEDS FIGURE EXTRACTION]
figure_002: page 3, caption/context, [NEEDS FIGURE EXTRACTION]
figure_003: page 3, caption/context, [NEEDS FIGURE EXTRACTION]
figure_004: page 4, caption/context, [NEEDS FIGURE EXTRACTION]
figure_005: page 4, caption/context, [NEEDS FIGURE EXTRACTION]
figure_006: page 4, caption/context, [NEEDS FIGURE EXTRACTION]
figure_007: page 5, caption/context, [NEEDS FIGURE EXTRACTION]
figure_008: page 5, caption/context, [NEEDS FIGURE EXTRACTION]
figure_009: page 5, caption/context, [NEEDS FIGURE EXTRACTION]
figure_010: page 5, caption/context, [NEEDS FIGURE EXTRACTION]
figure_011: page 5, caption/context, [NEEDS FIGURE EXTRACTION]
figure_012: page 6, caption/context, [NEEDS FIGURE EXTRACTION]
figure_013: page 6, caption/context, [NEEDS FIGURE EXTRACTION]
figure_014: page 6, caption/context, [NEEDS FIGURE EXTRACTION]
figure_015: page 6, caption/context, [NEEDS FIGURE EXTRACTION]
figure_016: page 7, caption/context, [NEEDS FIGURE EXTRACTION]
figure_017: page 7, caption/context, [NEEDS FIGURE EXTRACTION]
figure_018: page 7, caption/context, [NEEDS FIGURE EXTRACTION]
figure_019: page 8, caption/context, [NEEDS FIGURE EXTRACTION]
figure_020: page 8, caption/context, [NEEDS FIGURE EXTRACTION]
figure_021: page 8, caption/context, [NEEDS FIGURE EXTRACTION]
figure_022: page 8, caption/context, [NEEDS FIGURE EXTRACTION]
figure_023: page 8, caption/context, [NEEDS FIGURE EXTRACTION]
figure_024: page 8, caption/context, [NEEDS FIGURE EXTRACTION]
figure_025: page 11, caption/context, [NEEDS FIGURE EXTRACTION]
figure_026: page 11, caption/context, [NEEDS FIGURE EXTRACTION]
figure_027: page 12, caption/context, [NEEDS FIGURE EXTRACTION]
figure_028: page 12, caption/context, [NEEDS FIGURE EXTRACTION]
figure_029: page 12, caption/context, [NEEDS FIGURE EXTRACTION]
figure_030: page 12, caption/context, [NEEDS FIGURE EXTRACTION]
figure_031: page 13, caption/context, [NEEDS FIGURE EXTRACTION]
figure_032: page 13, caption/context, [NEEDS FIGURE EXTRACTION]
figure_033: page 13, caption/context, [NEEDS FIGURE EXTRACTION]
figure_034: page 14, caption/context, [NEEDS FIGURE EXTRACTION]
