figure_001: page 3; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_002: page 3; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_003: page 4; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_004: page 4; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_005: page 4; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_006: page 4; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_007: page 9; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_008: page 9; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_009: page 9; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_010: page 9; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_011: page 9; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_012: page 9; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_013: page 10; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_014: page 10; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_015: page 11; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_016: page 12; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_017: page 14; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_018: page 14; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_019: page 14; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_020: page 15; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_021: page 15; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_022: page 15; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_023: page 17; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_024: page 17; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_025: page 17; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_026: page 17; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_027: page 17; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_028: page 17; caption/context only; [NEEDS FIGURE EXTRACTION]
figure_029: page 18; caption/context only; [NEEDS FIGURE EXTRACTION]
