table_001: page 6; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_002: page 9; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_003: page 10; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_004: page 10; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_005: page 11; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_006: page 12; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_007: page 12; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_008: page 13; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_009: page 14; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_010: page 16; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
table_011: page 16; caption-neighbor/raw text only; [NEEDS TABLE REPAIR]
