table_001: page 3, rows=1, cols=10, crop=table_001_page_crop.png
table_002: page 4, rows=1, cols=4, crop=table_002_page_crop.png
table_003: page 4, rows=1, cols=4, crop=table_003_page_crop.png
table_004: page 5, rows=1, cols=6, crop=table_004_page_crop.png
table_005: page 5, rows=1, cols=5, crop=table_005_page_crop.png
table_006: page 6, rows=1, cols=10, crop=table_006_page_crop.png
table_007: page 7, rows=8, cols=11, crop=table_007_page_crop.png
table_008: page 7, rows=5, cols=5, crop=table_008_page_crop.png
table_009: page 7, rows=4, cols=5, crop=table_009_page_crop.png
table_010: page 7, rows=7, cols=6, crop=table_010_page_crop.png
table_011: page 8, rows=18, cols=7, crop=table_011_page_crop.png
table_012: page 8, rows=4, cols=8, crop=table_012_page_crop.png
