repo,cve,status,error_type,gt_raw_count,gt_mapped_count,gt_unmapped_count,pred_affected_count,partial_pred_affected_count,scanned_count,tp,fp,fn,precision,recall,f1,exact_match,no_miss,run_status_counts_json,verdict_counts_json,exported_messages,assistant_turns_exported,input_tokens_exported,output_tokens_exported,cache_read_tokens_exported,cache_write_tokens_exported,total_tokens_exported,cost_usd_exported
curl,CVE-2020-8169,ok,,14,14,0,0,0,150,0,0,14,0.0,0.0,0.0,0,0,"{""BISECT_INFER"": 134, ""OK"": 2, ""PREFILTER"": 14}","{""NOT_AFFECTED"": 150}",67,63,24307,15016,1838336,0,1877659,0.06458609
curl,CVE-2020-8177,ok,,68,68,0,19,19,150,19,0,49,1.0,0.27941176470588236,0.4367816091954023,0,0,"{""BISECT_INFER"": 140, ""OK"": 10}","{""AFFECTED"": 19, ""NOT_AFFECTED"": 131}",43,40,13858,10475,900608,0,924941,0.03349676
curl,CVE-2020-8231,ok,,62,62,0,62,62,152,62,0,0,1.0,1.0,1.0,1,1,"{""BISECT_INFER"": 142, ""OK"": 10}","{""AFFECTED"": 62, ""NOT_AFFECTED"": 90}",96,86,44425,23935,3361472,0,3429832,0.11661292
FFmpeg,CVE-2020-12284,failed,RuntimeError,9,9,0,0,0,0,0,0,9,0.0,0.0,0.0,0,0,{},{},66,62,26844,19424,2046592,0,2092860,0.07297898
FFmpeg,CVE-2020-13904,failed,TimeoutError,280,280,0,0,270,0,0,0,280,0.0,0.0,0.0,0,0,"{""BISECT_INFER"": 123, ""OK"": 223}","{""AFFECTED"": 270, ""NOT_AFFECTED"": 76}",0,0,0,0,0,0,0,0.0
FFmpeg,CVE-2020-14212,ok,,1,0,1,2,2,187,0,2,1,0.0,0.0,0.0,0,0,"{""BISECT_INFER"": 20, ""OK"": 27, ""PREFILTER"": 140}","{""AFFECTED"": 2, ""NOT_AFFECTED"": 185}",0,0,0,0,0,0,0,0.0
FFmpeg,CVE-2020-22029,ok,,19,19,0,10,10,358,4,6,15,0.4,0.21052631578947367,0.27586206896551724,0,0,"{""BISECT_INFER"": 232, ""OK"": 125, ""PREFILTER"": 1}","{""AFFECTED"": 10, ""NOT_AFFECTED"": 348}",38,35,15233,9390,764864,0,789487,0.02962523
httpd,CVE-2020-11984,ok,,14,14,0,0,0,202,0,0,14,0.0,0.0,0.0,0,0,"{""BISECT_INFER"": 180, ""OK"": 10, ""PREFILTER"": 12}","{""NOT_AFFECTED"": 202}",77,68,30849,17615,2208960,0,2257424,0.0778869
httpd,CVE-2020-11985,ok,,38,38,0,25,25,60,25,0,13,1.0,0.6578947368421053,0.7936507936507937,0,0,"{""BISECT_INFER"": 30, ""OK"": 8, ""PREFILTER"": 22}","{""AFFECTED"": 25, ""NOT_AFFECTED"": 35}",50,46,19104,11295,1064000,0,1094399,0.03988502
httpd,CVE-2020-11993,failed,TimeoutError,28,28,0,0,0,0,0,0,28,0.0,0.0,0.0,0,0,{},{},0,0,0,0,0,0,0,0.0
