cve_id,repo,cwe,fix_commit_count,status,json_parse_status,contract_ok,ingested_raw,hypothesis_count,evidence_backed_hypothesis_count,mechanism_correct,vulnerable_predicate_correct,fix_predicate_correct,anchor_file_correct,anchor_function_correct,anchor_hunk_correct,evidence_link_precise,unsupported_inference,fix_set_complete,minimality_correct,overall_root_cause_correct,severity,reviewer_notes
CVE-2020-12284,FFmpeg,CWE-787;CWE-20,3,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-13904,FFmpeg,CWE-416,15,rejected,fenced_json,False,0,2,0,,,,,,,,,,,,,
CVE-2020-14212,FFmpeg,CWE-787,2,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-10251,ImageMagick,CWE-125,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-19667,ImageMagick,CWE-787,1,parse_error,malformed,False,0,0,0,,,,,,,,,,,,,
CVE-2020-25663,ImageMagick,CWE-416,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-8169,curl,CWE-200,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-8177,curl,CWE-74;CWE-99,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-8231,curl,CWE-416,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11984,httpd,CWE-120,2,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11985,httpd,CWE-345,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11993,httpd,CWE-444,2,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2022-0171,linux,CWE-212;CWE-459,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2022-0185,linux,CWE-191;CWE-190,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2022-0264,linux,CWE-755;CWE-200,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2022-0286,linux,CWE-476,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2022-0322,linux,CWE-704;CWE-681,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2022-0433,linux,CWE-476;CWE-908,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-15389,openjpeg,CWE-416,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-27814,openjpeg,CWE-122,1,rejected,json,False,0,1,0,,,,,,,,,,,,,
CVE-2020-27823,openjpeg,CWE-787;CWE-120;CWE-20,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-1967,openssl,CWE-476,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-1971,openssl,CWE-476,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2021-23840,openssl,CWE-190,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-10702,qemu,CWE-325,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11869,qemu,CWE-190,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11947,qemu,CWE-125,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11647,wireshark,CWE-674;CWE-74,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-13164,wireshark,CWE-674;CWE-400,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-15466,wireshark,CWE-835,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
