cve_id,repo,tag,line_id,candidate_reachable,known_fix_reachable,tag_time,nearest_fix_time,tag_after_fix,same_gt_line,neighbor_gt_line,likely_error_source
CVE-2022-0171,linux,v3.10,3.10,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.11,3.11,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.12,3.12,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.13,3.13,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.14,3.14,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.15,3.15,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.16,3.16,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.17,3.17,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.18,3.18,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.19,3.19,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.7,3.7,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.8,3.8,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v3.9,3.9,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.0,4.0,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.1,4.1,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.10,4.10,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.11,4.11,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.12,4.12,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.13,4.13,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.14,4.14,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.15,4.15,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.16,4.16,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.17,4.17,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.18,4.18,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.19,4.19,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.2,4.2,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.20,4.20,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.3,4.3,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.4,4.4,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.5,4.5,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.6,4.6,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.7,4.7,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.8,4.8,yes,no,,,unknown,False,False,raw_candidate_too_early
CVE-2022-0171,linux,v4.9,4.9,yes,no,,,unknown,False,False,raw_candidate_too_early
