cve_id,repo,cwe,fix_commit_count,status,json_parse_status,contract_ok,ingested_raw,hypothesis_count,evidence_backed_hypothesis_count,mechanism_correct,vulnerable_predicate_correct,fix_predicate_correct,anchor_file_correct,anchor_function_correct,anchor_hunk_correct,evidence_link_precise,unsupported_inference,fix_set_complete,minimality_correct,overall_root_cause_correct,severity,reviewer_notes
CVE-2020-14212,FFmpeg,CWE-787,2,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-19667,ImageMagick,CWE-787,1,rejected,fenced_json,False,0,1,0,,,,,,,,,,,,,
CVE-2020-8231,curl,CWE-416,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11984,httpd,CWE-120,2,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2022-0171,linux,CWE-212;CWE-459,1,parse_error,malformed,False,0,0,0,,,,,,,,,,,,,
CVE-2022-0286,linux,CWE-476,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-15389,openjpeg,CWE-416,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-1967,openssl,CWE-476,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-11869,qemu,CWE-190,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
CVE-2020-13164,wireshark,CWE-674;CWE-400,1,ingested_raw,fenced_json,True,1,1,1,,,,,,,,,,,,,
