cve_id,anchor_id,candidate_id,root_cause_binding_correct,parent_line_exists,line_role_correct,minimal_anchor,blame_worthy,context_only_noise,fix_family_covered,notes
CVE-2020-14212,pre-fix-anchor:e2439176a33c2773e55f4e5c0935a59dbe3ec1e7d4fe7072b9fda21e4c479888,pre-fix-line:97dc1f96407f9cdf07968bc343d96b721a3617603e64a00e10973789aa276075,,,,,,,,
CVE-2020-14212,pre-fix-anchor:04aad5d3643b4dc31cfbfb34e503278a4b08e0919b00d86139cf24561d93a671,pre-fix-line:86b4859d33531f990dca372d1624627634c30821f7e0f0b97344615d66e61c5b,,,,,,,,
CVE-2020-14212,pre-fix-anchor:9e30cdb12a5d1e8d32e9c25097f43508a0962bd46c8fe13618e3800d506bc865,pre-fix-line:256223de536a778b529c8578fc6c505485a58e2d2feb2fbb554cf58e70eb6b2b,,,,,,,,
CVE-2020-14212,pre-fix-anchor:f430055c3113f7392d797efdd1c145152676b33b2a24d80d596fa4f862fb56b0,pre-fix-line:372e9485b0a8934d8d322329868ad639d9707bbe90e73d15d4c607bf62de978b,,,,,,,,
CVE-2020-19667,pre-fix-anchor:9fded8031beb1eda49875afd7ebc018f067faa986ce2f5e61a7db750db1de451,pre-fix-line:b12622782b47325453f4e9f1fdc76a7c979e51cbb37bbb2df113508a0dbad0d2,,,,,,,,
CVE-2020-8231,pre-fix-anchor:2b375be270ee2d948359afb320d0058db560d0d5f349c7e25c496def951f2404,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,,,,,,,,
CVE-2020-8231,pre-fix-anchor:a0413b1d19c77c6b1400e5fb966a42ed2871ec5b761b24398da0616d3a5853b8,pre-fix-line:04eb3cbe09cdaa27dec73f0a4b5527a67ecc0fc7ffcb8e6cb8af62e6e5b3c686,,,,,,,,
CVE-2020-8231,pre-fix-anchor:b4159ebe15faf23d1a3b0c4d125f4e78030ab8cae605cdf94a092c8f4ea3719c,pre-fix-line:62708085f1e0aae9929b34068437173e71941db0e9c17d3caa3980e8b2182b0a,,,,,,,,
CVE-2020-8231,pre-fix-anchor:ff369590c1cecbd1724452ce33516653138f31585e5c445359d3c94dadcf48cd,pre-fix-line:cdcca7d182913c901b9250ac780421d864220005510183e65d759f31f24fb931,,,,,,,,
CVE-2020-8231,pre-fix-anchor:7f33c2a513f3ff29b9380ea2fa0427bd3f439a903eb44bb21555a96428182e91,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,,,,,,,,
CVE-2020-8231,pre-fix-anchor:99f7226549c26db5e16840645a0c8f41d256a808ae9551d30d776d44de3160ea,pre-fix-line:494c7f3c82cfadb0b8ad7edb8ad4da211f11ccf6b30e0e722a06544e38a6feb3,,,,,,,,
CVE-2020-8231,pre-fix-anchor:83dc20cdc5cf05f9f60c44dafbe9f75e3ce11d49be334e0246191b1f45dce1e1,pre-fix-line:20c59a89314fe7c6ac41d4c3b3be0b1481a872d823578299b076cc854b901c52,,,,,,,,
CVE-2020-8231,pre-fix-anchor:1232887d18289721c3c45f9d522dbe2f50033433ec4f0d89193ebb3d66ec2e65,pre-fix-line:1778097124f51cf431cee5cff80245e1c931cf7952ba995d5bb1fde6d7254095,,,,,,,,
CVE-2020-8231,pre-fix-anchor:fa5ed3966242efdf7726ba324e6d7aa0225e2004bf4c64da9e2eac93cf3a83ef,pre-fix-line:65bb5f1f4ce8e773e03b5f222f884c6c785942eebf283a18f54d153905590bd3,,,,,,,,
CVE-2020-11984,pre-fix-anchor:4d186b03c1382e3671c9a56a73ad191afb83b03cedbda0bcd20a843bd93d4f6a,pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1,,,,,,,,
