cve_id,anchor_id,candidate_id,root_cause_binding_correct,parent_line_exists,line_role_correct,minimal_anchor,blame_worthy,context_only_noise,fix_family_covered,notes
CVE-2020-14212,pre-fix-anchor:94234e5df2132dd082468dd2acb169dd897214036d30d34bb1206895ee8fc63a,pre-fix-line:da3ee164f10ab1623cf8eb9963739b66323808f9a98271fcfe983c2698d7f193,,,,,,,,
CVE-2020-10251,pre-fix-anchor:c9649d0868a476ab545ae94bd13bd93333147504e180f028b7e8cdc0be913aa0,pre-fix-line:9dc8ff4c78a029afaeb373ad87410b09da99271b5cbb20a49117b78dc70b374f,,,,,,,,
CVE-2020-10251,pre-fix-anchor:501e53f44b86b86714d7afda41cdc039c5350c862635410649e497803d1ba516,pre-fix-line:728a74ab58b7480d17c332e5cac1b2d17b1104263727c50cfb0caba41f2ff9a0,,,,,,,,
CVE-2020-25663,pre-fix-anchor:03176df5ddb60a070b5702fedf3e64790c45e45d8a146d85025267041c66a1c7,pre-fix-line:e5496db617dfc637d8a33f0828d684034b2a3ee166c1673e278e2cd8afee160e,,,,,,,,
CVE-2020-25663,pre-fix-anchor:db6aa9dbb42dcc98f555f02424d0814596374df6881f3cc414c45f18e1354192,pre-fix-line:e2e5da8bf6acfe907fe7a0c0e05b3f1b1de83f5a54c99b5695a3c7cb6a1a7d08,,,,,,,,
CVE-2020-8177,pre-fix-anchor:8ff7bf65501a2e0022bcaadb5d5f6509b0b95ee65b9214f3f8685efe1c6c47b4,pre-fix-line:b30837065bf84538784014f466a543de7fe1f08df70ec0b26c3843aa2f189bfb,,,,,,,,
CVE-2020-8177,pre-fix-anchor:443c71a0d718dac1a92a74c5bbfc394178731b5d349c93556a0b5357195e7fd1,pre-fix-line:e6d5b2fdecfadb56795131c19678b775c8cc4ba60c9cfc4cc8ae4de1352d9f79,,,,,,,,
CVE-2020-8177,pre-fix-anchor:7f300acceac4c4ed9cb14a5534078c312e728b7c531044733d7c784de2756258,pre-fix-line:048c64f98c704e7fac88969987cef5bd99889d6b73054b01b4aefc1a931c6268,,,,,,,,
CVE-2020-8231,pre-fix-anchor:81f281a3d5085a55b73b2424b0aebcdc3684467cb5e4d5b4f1840bc245ccf8d2,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,,,,,,,,
CVE-2020-8231,pre-fix-anchor:ecff4c3bdb908135ce8ea756c4565315641b69e31fc666759a976467e3ec89e6,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,,,,,,,,
CVE-2020-8231,pre-fix-anchor:27ad86746fad6e3aeda7bfe89cbe5a62a55fee95f6570999cfc6e8243d18feb9,pre-fix-line:62708085f1e0aae9929b34068437173e71941db0e9c17d3caa3980e8b2182b0a,,,,,,,,
CVE-2020-11984,pre-fix-anchor:5962b24c696dad08b8f34240d1a67281828684fe0a8937431f86f0caa0849d08,pre-fix-line:acfc58dcb535a29f0a570b2cd0b4e4a0fddeb03671cf2dd4de19c55996112fbe,,,,,,,,
CVE-2020-11984,pre-fix-anchor:1bb8797e4b7596d544ad663db7268d738e21696b044e499e34b1aa463cada0ca,pre-fix-line:99b806cf39616c1c0676142bd2bc96cd1d3cc1a99fbfe114fad9c4efd7a1973d,,,,,,,,
CVE-2020-11984,pre-fix-anchor:55d2c0195b8e58227057c471aae5382399c0891f4f11cbc6186556646df1db09,pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1,,,,,,,,
CVE-2020-11984,pre-fix-anchor:5a1f49b7c7e866f0c28b36ddc7c7ba50adf9f0d8b4c90ead6965dc0c0237073c,pre-fix-line:ee07dfbbcdcd44a10b6fc69641be54ba4a4b23bc3787b9390e7fff4211e06c42,,,,,,,,
CVE-2020-11985,pre-fix-anchor:8a2b3bf5097ee4abdbd9a6fd778e584e02b7b24683278d55429e6fa332de2c05,pre-fix-line:d80b68bdd5474280a125b5d514eea83b5eb5ca6731159bd5d4c3263766e37779,,,,,,,,
CVE-2020-11993,pre-fix-anchor:672a34debb2bec6ce1d79372469351d248465813a7c4db0f692b7f1da1326f65,pre-fix-line:0b555d39ec6248d2bf3f4ad935dc2046d9735389a041a44c3bd652dac23ac067,,,,,,,,
CVE-2022-0171,pre-fix-anchor:dbe1942c57c57f91d35d2c0137d0f045c66444b1c835dc525bffae7cb4d712cc,pre-fix-line:52235be9052926d5b94e7f55f55e32e0c17921d981700ee274243ff893d35de0,,,,,,,,
CVE-2022-0171,pre-fix-anchor:f90cbb8b873ec6353f31b3202ddb25c40400dc9e728a183fefa69c2d7f977bb4,pre-fix-line:ebcb63954683ea34b6e7d6dbf8c0729dba0fb7c9b93f9b12cf55dcbffe891d2b,,,,,,,,
CVE-2022-0171,pre-fix-anchor:7b0d04ef4f25dcfa93eb99085d7a4539b5d60e80124b0518ffe234e5a3bb98c1,pre-fix-line:b13d524ddf813defb48dfae202509c87bd59025fbfc6fda94372ff406e57f23c,,,,,,,,
CVE-2022-0185,pre-fix-anchor:c275b4f0eaf12f109006e0fb76c499de2c93f152a9f6a2b540ad097d9d091007,pre-fix-line:b28ae8cb98ddc3442c651c162b27ed04e9bbf0bcf6f699cfa08714fa7d86eb21,,,,,,,,
CVE-2022-0264,pre-fix-anchor:4138641bb6b0cdd618a965aefadbe90722b6fa29d4495e54e0a7d23be823dd2e,pre-fix-line:299ba5d48f2d8f0d72c08699698bb952e37af9beaae5a0595dfed6d33f770dc5,,,,,,,,
CVE-2022-0286,pre-fix-anchor:4981bec2ea258699c8d43387732664774ad76c497f98b2e6bab886d1e83d6610,pre-fix-line:af8b4b45936c1599fd89b400eccbde6e926114aa81693d29af78daadbf63726c,,,,,,,,
CVE-2022-0286,pre-fix-anchor:612272e016cd287d79063d3d4e3dd5258e7563fdac3abacb8560d1c00ea1be57,pre-fix-line:dff6626881878dc79797acc5156a658866f3a5cb26c680ed33f6cd6b0f79cc34,,,,,,,,
CVE-2022-0322,pre-fix-anchor:02218a64e16d3dad9a81851c537545d1d2cb2957ff83b15b396a7ca2343ac1c0,pre-fix-line:f14a25fb1b360c1ba225183da1499b5f60aa4dce90ea9637a4bb3ba375d13817,,,,,,,,
CVE-2020-15389,pre-fix-anchor:adef2189b12a57848f27c3ba2813a76a17169f08c6d0fd6ee8ca211aead69360,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,,,,,,,,
CVE-2020-15389,pre-fix-anchor:5a69cf430f475617e85a61fdfdd2ea7a8c6cf994347971edee96c7e30fce0b96,pre-fix-line:c6fbd71247569a8f1e42e0cd70e9b25e52011be7e3df19c2790a39eef629457f,,,,,,,,
CVE-2020-15389,pre-fix-anchor:c13a62bb6e5df19e87c8809cb55e917c79e4aa2a9c8c52d0600e5d7fdfbd9b80,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,,,,,,,,
CVE-2020-15389,pre-fix-anchor:68363d8a3a2a41f658c70ac6f5b85b6a1758bafea83babf1a0e6b4de9175d0b9,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,,,,,,,,
CVE-2020-27823,pre-fix-anchor:3f85864b9d6dd924b28f82b403ec05ebd754efb8bc4f1c3fcf463e0a33bc7590,pre-fix-line:94c5ff5802ffee8dbf9687d015116fd1e87645d8320470c129fe1b88ea28e3d0,,,,,,,,
CVE-2020-27823,pre-fix-anchor:7df359beb436acd4883c9b68f7a15f37169ef586b8a092970c9f5ba3fb066bab,pre-fix-line:48590a19b78472c3364a2aca591007abb632fac4bf23a30272d3b9b0b7b4390f,,,,,,,,
CVE-2020-1967,pre-fix-anchor:6dffa6d98a1ed4ce7af26cdbe861710b69c98e164370481bce8486061c438503,pre-fix-line:e5ecd537cb332ded9cf6af2e2da76689c6d7230c05b896ee3dd7ad5d25ee50af,,,,,,,,
CVE-2020-1971,pre-fix-anchor:8ab6349160f9ec8caef40d6f03aabb244603695f430d660be2d709319d561519,pre-fix-line:00bd2de62bd82111b8d9aa564f281a299d0489ab347831ee2332113017a36302,,,,,,,,
CVE-2020-1971,pre-fix-anchor:7066f25681299363e1f9bf96b63e16fcdc2dd73351137eb868a85b7692cb6702,pre-fix-line:20ca38752d54921dfd9d5b667710c73e0a360bf310b87cc5cacc4b2dac31dfee,,,,,,,,
CVE-2020-1971,pre-fix-anchor:155bf64141cb61210a24f1f58d7695c05c00ac48a71fd33d31e6dcfc0783d821,pre-fix-line:ae1b9ceff538b45144b8650691ed312803616a76504a6faf906a6eeb43bde6f6,,,,,,,,
CVE-2021-23840,pre-fix-anchor:677a94a2e183efa27af792d8006b3cd3cdeec0c2a5506a2afac5c6ded07b3bef,pre-fix-line:debd1476a8733e471f1ac18a39b3bc3d857b18e3e3a4498fca42bb40cc9b5b96,,,,,,,,
CVE-2021-23840,pre-fix-anchor:eee9c385eee9f1c6dd794c12da9f730ac222b816a9ee334553abb1f2fc3c47ee,pre-fix-line:ebba0450a4420aa94dd1a116f5b2cf4d4a68f8679d99fd59bd2521815f52fa69,,,,,,,,
