cve_id,status,backend_type,parse_status,contract_ok,candidate_count,original_candidate_count,compacted_candidate_count,prompt_bytes,root_cause_hunks_total,root_cause_hunks_preserved,fix_commits_total,fix_commits_prompt_covered,resolved_anchor_count,blame_status,candidate_commit_count,duration_s
CVE-2020-12284,contract_rejected,opencode,,,384,384,40,60485,3,3,3,3,,,,90.578
CVE-2020-14212,contract_rejected,opencode,,,630,630,42,64760,2,2,2,2,,,,66.031
CVE-2020-10251,ingested_raw_candidate,opencode,fenced_json,True,14,14,14,27559,1,1,1,1,2,success,2,69.547
CVE-2020-25663,ingested_raw_candidate,opencode,fenced_json,True,335,335,40,58863,2,2,1,1,2,success,2,102.422
CVE-2020-8169,handoff_parse_error,opencode,,,8,8,8,19982,1,1,1,1,,,,20.734
CVE-2020-8177,ingested_raw_candidate,opencode,fenced_json,True,1671,1671,40,58001,2,2,1,1,3,success,3,55.047
CVE-2020-8231,ingested_raw_candidate,opencode,fenced_json,True,117,117,40,60566,4,4,1,1,3,success,2,86.859
CVE-2020-11984,ingested_raw_candidate,opencode,json,True,150,150,80,110834,6,6,2,2,4,success,3,82.125
CVE-2020-11985,ingested_raw_candidate,opencode,fenced_json,True,7,7,7,19283,1,1,1,1,1,success,1,59.063
CVE-2020-11993,ingested_raw_candidate,opencode,fenced_json,True,475,475,80,101337,1,1,2,2,1,success,1,129.281
CVE-2022-0171,ingested_raw_candidate,opencode,fenced_json,True,462,462,41,61290,3,3,1,1,3,success,2,95.766
CVE-2022-0185,ingested_raw_candidate,opencode,json,True,1,1,1,11858,1,1,1,1,1,success,1,26.172
CVE-2022-0264,ingested_raw_candidate,opencode,fenced_json,True,3,3,3,16665,1,1,1,1,1,success,1,42.406
CVE-2022-0286,ingested_raw_candidate,opencode,fenced_json,True,28,28,28,43934,1,1,1,1,2,success,2,32.703
CVE-2022-0322,ingested_raw_candidate,opencode,json,True,1,1,1,13280,1,1,1,1,1,success,1,27.938
CVE-2022-0433,contract_rejected,opencode,,,11,11,11,25829,2,2,1,1,,,,108.687
CVE-2020-15389,ingested_raw_candidate,opencode,fenced_json,True,443,443,40,59684,2,2,1,1,4,success,3,93.235
CVE-2020-27823,ingested_raw_candidate,opencode,fenced_json,True,2,2,2,13778,1,1,1,1,2,success,1,40.859
CVE-2020-1967,ingested_raw_candidate,opencode,fenced_json,True,1,1,1,12232,1,1,1,1,1,success,1,36.672
CVE-2020-1971,contract_rejected,opencode,,,8,8,8,28003,4,4,1,1,,,,113.812
CVE-2021-23840,ingested_raw_candidate,opencode,fenced_json,True,184,184,42,64422,3,3,1,1,2,success,2,125.672
CVE-2020-10702,ingested_raw_candidate,opencode,fenced_json,True,2,2,2,13780,2,2,1,1,2,success,1,33.219
CVE-2020-11869,ingested_raw_candidate,opencode,fenced_json,True,11,11,11,33557,4,4,1,1,3,success,2,146.718
CVE-2020-11947,ingested_raw_candidate,opencode,fenced_json,True,2,2,2,13400,1,1,1,1,2,success,1,54.422
CVE-2020-11647,ingested_raw_candidate,opencode,fenced_json,True,1184,1184,42,65241,3,3,1,1,3,success,3,105.266
CVE-2020-13164,ingested_raw_candidate,opencode,fenced_json,True,2423,2423,40,60593,3,3,1,1,3,success,2,204.156
CVE-2020-15466,contract_rejected,opencode,,,56,56,40,60730,1,1,1,1,,,,85.5
