cve_id,status,backend_type,parse_status,contract_ok,candidate_count,resolved_anchor_count,blame_status,candidate_commit_count,duration_s
CVE-2020-14212,ingested_raw_candidate,fixture,json,True,630,1,success,1,10.078
CVE-2020-19667,ingested_raw_candidate,fixture,json,True,261,1,success,1,2.5
CVE-2020-8231,ingested_raw_candidate,fixture,json,True,117,1,success,1,2.156
CVE-2020-11984,ingested_raw_candidate,fixture,json,True,150,2,success,2,2.375
CVE-2022-0171,raw_candidate_censored,fixture,json,True,462,1,shallow_history,0,4.891
CVE-2022-0286,raw_candidate_censored,fixture,json,True,28,1,shallow_history,0,0.375
CVE-2020-15389,ingested_raw_candidate,fixture,json,True,443,1,success,1,0.828
CVE-2020-1967,ingested_raw_candidate,fixture,json,True,1,1,success,1,0.453
CVE-2020-11869,ingested_raw_candidate,fixture,json,True,11,1,success,1,1.172
CVE-2020-13164,ingested_raw_candidate,fixture,json,True,2423,1,success,1,7.375
