cve_id,status,backend_type,parse_status,contract_ok,candidate_count,original_candidate_count,compacted_candidate_count,prompt_bytes,root_cause_hunks_total,root_cause_hunks_preserved,fix_commits_total,fix_commits_prompt_covered,resolved_anchor_count,blame_status,candidate_commit_count,duration_s
CVE-2020-14212,ingested_raw_candidate,fixture,json,True,630,630,44,73685,10,10,2,2,2,success,1,6.39
CVE-2020-19667,ingested_raw_candidate,fixture,json,True,261,261,40,54142,1,1,1,1,1,success,1,1.969
CVE-2020-8231,ingested_raw_candidate,fixture,json,True,117,117,40,69810,9,9,1,1,1,success,1,1.422
CVE-2020-11984,ingested_raw_candidate,fixture,json,True,150,150,80,110734,6,6,2,2,2,success,2,1.672
CVE-2022-0171,raw_candidate_censored,fixture,json,True,462,462,41,57611,2,2,1,1,1,shallow_history,0,3.547
CVE-2022-0286,raw_candidate_censored,fixture,json,True,28,28,28,42887,1,1,1,1,1,shallow_history,0,0.218
CVE-2020-15389,ingested_raw_candidate,fixture,json,True,443,443,40,58006,2,2,1,1,1,success,1,0.579
CVE-2020-1967,ingested_raw_candidate,fixture,json,True,1,1,1,11136,1,1,1,1,1,success,1,0.281
CVE-2020-11869,ingested_raw_candidate,fixture,json,True,11,11,11,28668,4,4,1,1,1,success,1,0.656
CVE-2020-13164,ingested_raw_candidate,fixture,json,True,2423,2423,42,64194,7,7,1,1,1,success,1,6.125
