cve_id,anchor_id,candidate_id,root_cause_binding_correct,parent_line_exists,line_role_correct,minimal_anchor,blame_worthy,context_only_noise,fix_family_covered,notes
CVE-2020-14212,pre-fix-anchor:398da48f49bc99346531fe0ec1d215b0135dfebb0fab02964ac0dc58d0ceb1f7,pre-fix-line:083c7a5c85c1e72eb2e6590d270233a43da76d0b83f315202ad0c070b90c654b,,,,,,,,
CVE-2020-19667,pre-fix-anchor:15bc77261cbde09414247a63780c80f7bbc77f61df3bbcc3abd9a258c83292c3,pre-fix-line:00f200cc2911b4898d26814e52619f1ba44e225718b64f3606fd5502180add4b,,,,,,,,
CVE-2020-8231,pre-fix-anchor:7ab1deb7de29f45fd0a3c30496f351d45f577acbfa18f049fc6cb6017a344a03,pre-fix-line:04eb3cbe09cdaa27dec73f0a4b5527a67ecc0fc7ffcb8e6cb8af62e6e5b3c686,,,,,,,,
CVE-2020-11984,pre-fix-anchor:019bb1d7d4121b216a0191aeb5025fd726a55a9dc618b407028eafd678915672,pre-fix-line:b84ff9c1c671c0c3e4b8dc7d92e6a218a3c08161feddc92e0a8820193a2c77a1,,,,,,,,
CVE-2020-11984,pre-fix-anchor:17386eebdb48047d008159ef0de9cc5a4b93bf3190d8731a5b229442211ffd62,pre-fix-line:99b806cf39616c1c0676142bd2bc96cd1d3cc1a99fbfe114fad9c4efd7a1973d,,,,,,,,
CVE-2022-0171,pre-fix-anchor:d7dc5b5e0f03080d18253a785685e982122e435ecd665430a8973932fd996615,pre-fix-line:1a6706f94f8b734d9805fe3aa72892e8b25f2330d10f6408aec7ce1ec76ec812,,,,,,,,
CVE-2022-0286,pre-fix-anchor:0b9faf0aaa025e652413b76f079f6f9877f018e149dbf6b1a108fbae0d9efa0d,pre-fix-line:04fadcf51c9d94c04bbb6ab6fd3876dc40dc9bd2b9a531f0d9259f421ddbf9af,,,,,,,,
CVE-2020-15389,pre-fix-anchor:f8ca6398f6ef9ae8f5bff1a9057f0b87a8c2509f5d1ff4144993c83d945a4463,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,,,,,,,,
CVE-2020-1967,pre-fix-anchor:e6b9322949f1977cdf84f0f9faf4e2451c658908337b362c996a2154fe7d77e3,pre-fix-line:e5ecd537cb332ded9cf6af2e2da76689c6d7230c05b896ee3dd7ad5d25ee50af,,,,,,,,
CVE-2020-11869,pre-fix-anchor:353fd7a2a1948f0a64e8d75a2cf8c9e2ac6dd16acac29ce9172d8c011dbb3c6a,pre-fix-line:0a2dd4f913050c77659e61dee2b4270d6b4476314848861209befe3e45e9a263,,,,,,,,
CVE-2020-13164,pre-fix-anchor:a516acfc0e5b4e0e26f426065a9f95cb19c1bf3ff7d6a45279eef13971c0252f,pre-fix-line:1bab2ed514c9ecf7c49d4a12e9e85aa5041f7fb63162f0f1f1292b9592711824,,,,,,,,
