artifact_set,stage,cve_id,file,bytes
judge30,packet,,blind_packet_forbidden_field_scan.json,478
judge30,other,,cve_2020_27814_repair_report.md,522
judge30,other,,fallback_candidate_ranking_report.md,814
judge30,other,,fallback_ranked_candidates.json,111784
judge30,diagnostic_summary,,judge_candidate_summary.csv,45933
judge30,other,,judge_input_hardening_report.md,4147
judge30,other,,provenance_manifest.json,798
judge30,diagnostic_summary,,summary.json,1087
judge30,packet,CVE-2020-10251,CVE-2020-10251/judge_audit_packet.json,26671
judge30,packet,CVE-2020-10251,CVE-2020-10251/judge_blind_input_packet.json,9108
judge30,packet,CVE-2020-10702,CVE-2020-10702/judge_audit_packet.json,12005
judge30,packet,CVE-2020-10702,CVE-2020-10702/judge_blind_input_packet.json,4741
judge30,packet,CVE-2020-11647,CVE-2020-11647/judge_audit_packet.json,145719
judge30,packet,CVE-2020-11647,CVE-2020-11647/judge_blind_input_packet.json,44730
judge30,packet,CVE-2020-11869,CVE-2020-11869/judge_audit_packet.json,20269
judge30,packet,CVE-2020-11869,CVE-2020-11869/judge_blind_input_packet.json,7688
judge30,packet,CVE-2020-11947,CVE-2020-11947/judge_audit_packet.json,15434
judge30,packet,CVE-2020-11947,CVE-2020-11947/judge_blind_input_packet.json,5746
judge30,packet,CVE-2020-11984,CVE-2020-11984/judge_audit_packet.json,28495
judge30,packet,CVE-2020-11984,CVE-2020-11984/judge_blind_input_packet.json,10369
judge30,packet,CVE-2020-11985,CVE-2020-11985/judge_audit_packet.json,11229
judge30,packet,CVE-2020-11985,CVE-2020-11985/judge_blind_input_packet.json,3859
judge30,packet,CVE-2020-11993,CVE-2020-11993/judge_audit_packet.json,9599
judge30,packet,CVE-2020-11993,CVE-2020-11993/judge_blind_input_packet.json,3355
judge30,packet,CVE-2020-12284,CVE-2020-12284/judge_audit_packet.json,61196
judge30,packet,CVE-2020-12284,CVE-2020-12284/judge_blind_input_packet.json,27386
judge30,packet,CVE-2020-13164,CVE-2020-13164/judge_audit_packet.json,116957
judge30,packet,CVE-2020-13164,CVE-2020-13164/judge_blind_input_packet.json,37290
judge30,packet,CVE-2020-13904,CVE-2020-13904/judge_audit_packet.json,681969
judge30,packet,CVE-2020-13904,CVE-2020-13904/judge_blind_input_packet.json,103740
judge30,packet,CVE-2020-14212,CVE-2020-14212/judge_audit_packet.json,59986
judge30,packet,CVE-2020-14212,CVE-2020-14212/judge_blind_input_packet.json,24333
judge30,packet,CVE-2020-15389,CVE-2020-15389/judge_audit_packet.json,29134
judge30,packet,CVE-2020-15389,CVE-2020-15389/judge_blind_input_packet.json,10802
judge30,packet,CVE-2020-15466,CVE-2020-15466/judge_audit_packet.json,90522
judge30,packet,CVE-2020-15466,CVE-2020-15466/judge_blind_input_packet.json,29334
judge30,packet,CVE-2020-19667,CVE-2020-19667/judge_audit_packet.json,66709
judge30,packet,CVE-2020-19667,CVE-2020-19667/judge_blind_input_packet.json,21541
judge30,packet,CVE-2020-1967,CVE-2020-1967/judge_audit_packet.json,9184
judge30,packet,CVE-2020-1967,CVE-2020-1967/judge_blind_input_packet.json,3353
judge30,packet,CVE-2020-1971,CVE-2020-1971/judge_audit_packet.json,57458
judge30,packet,CVE-2020-1971,CVE-2020-1971/judge_blind_input_packet.json,20168
judge30,packet,CVE-2020-25663,CVE-2020-25663/judge_audit_packet.json,29967
judge30,packet,CVE-2020-25663,CVE-2020-25663/judge_blind_input_packet.json,9883
judge30,blame_trace,CVE-2020-27814,CVE-2020-27814/blame_trace.json,6447
judge30,candidate_commits,CVE-2020-27814,CVE-2020-27814/candidate_commits.json,3116
judge30,ingestion,CVE-2020-27814,CVE-2020-27814/ingestion_result.json,359
judge30,packet,CVE-2020-27814,CVE-2020-27814/judge_audit_packet.json,10544
judge30,packet,CVE-2020-27814,CVE-2020-27814/judge_blind_input_packet.json,3990
judge30,candidate_inventory,CVE-2020-27814,CVE-2020-27814/repaired_candidate_inventory.json,4362
judge30,other,CVE-2020-27814,CVE-2020-27814/resolved_pre_fix_anchors.json,2044
judge30,other,CVE-2020-27814,CVE-2020-27814/second_parent_patch_hunks.json,4502
judge30,packet,CVE-2020-27823,CVE-2020-27823/judge_audit_packet.json,11798
judge30,packet,CVE-2020-27823,CVE-2020-27823/judge_blind_input_packet.json,4652
judge30,packet,CVE-2020-8169,CVE-2020-8169/judge_audit_packet.json,47384
judge30,packet,CVE-2020-8169,CVE-2020-8169/judge_blind_input_packet.json,16981
judge30,packet,CVE-2020-8177,CVE-2020-8177/judge_audit_packet.json,32864
judge30,packet,CVE-2020-8177,CVE-2020-8177/judge_blind_input_packet.json,10241
judge30,packet,CVE-2020-8231,CVE-2020-8231/judge_audit_packet.json,26893
judge30,packet,CVE-2020-8231,CVE-2020-8231/judge_blind_input_packet.json,9316
judge30,packet,CVE-2021-23840,CVE-2021-23840/judge_audit_packet.json,36347
judge30,packet,CVE-2021-23840,CVE-2021-23840/judge_blind_input_packet.json,12046
judge30,packet,CVE-2022-0171,CVE-2022-0171/judge_audit_packet.json,20849
judge30,packet,CVE-2022-0171,CVE-2022-0171/judge_blind_input_packet.json,7738
judge30,packet,CVE-2022-0185,CVE-2022-0185/judge_audit_packet.json,9555
judge30,packet,CVE-2022-0185,CVE-2022-0185/judge_blind_input_packet.json,3455
judge30,packet,CVE-2022-0264,CVE-2022-0264/judge_audit_packet.json,9074
judge30,packet,CVE-2022-0264,CVE-2022-0264/judge_blind_input_packet.json,3270
judge30,packet,CVE-2022-0286,CVE-2022-0286/judge_audit_packet.json,17660
judge30,packet,CVE-2022-0286,CVE-2022-0286/judge_blind_input_packet.json,6340
judge30,packet,CVE-2022-0322,CVE-2022-0322/judge_audit_packet.json,10639
judge30,packet,CVE-2022-0322,CVE-2022-0322/judge_blind_input_packet.json,3845
judge30,packet,CVE-2022-0433,CVE-2022-0433/judge_audit_packet.json,37636
judge30,packet,CVE-2022-0433,CVE-2022-0433/judge_blind_input_packet.json,14417
rootcause30,other,,evaluation.csv,2928
rootcause30,other,,failure_taxonomy.json,2114
rootcause30,other,,graph_store/edges.jsonl,3426418
rootcause30,other,,graph_store/events.jsonl,12497235
rootcause30,other,,graph_store/nodes.jsonl,5228905
rootcause30,other,,report.md,15274
rootcause30,other,,semantic_review_template.md,22488
