candidate_count,compacted_candidate_count,cve_id,fix_commit_prompt_covered,fix_commit_total,forbidden_model_input_ok,model_view_candidate_count,observation_count,original_candidate_count,patch_family_prompt_covered,patch_family_total,patch_hunk_count,patch_hunks_with_key_lines,release_tag_summarized_candidates,stage
,,CVE-2020-11869,,,True,,3,,,,4,4,,root_cause
,,CVE-2020-11984,,,True,,8,,,,8,8,,root_cause
,,CVE-2020-13164,,,True,,3,,,,8,8,,root_cause
,,CVE-2020-14212,,,True,,20,,,,46,46,,root_cause
,,CVE-2020-15389,,,True,,3,,,,2,2,,root_cause
,,CVE-2020-19667,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-1967,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-8231,,,True,,7,,,,9,9,,root_cause
,,CVE-2022-0171,,,True,,10,,,,18,18,,root_cause
,,CVE-2022-0286,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-10251,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-10702,,,True,,3,,,,2,2,,root_cause
,,CVE-2020-11647,,,True,,3,,,,7,7,,root_cause
,,CVE-2020-11869,,,True,,3,,,,4,4,,root_cause
,,CVE-2020-11947,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-11984,,,True,,8,,,,8,8,,root_cause
,,CVE-2020-11985,,,True,,5,,,,3,3,,root_cause
,,CVE-2020-11993,,,True,,19,,,,140,140,,root_cause
,,CVE-2020-12284,,,True,,9,,,,3,3,,root_cause
,,CVE-2020-13164,,,True,,3,,,,8,8,,root_cause
,,CVE-2020-13904,,,True,,45,,,,30,30,,root_cause
,,CVE-2020-14212,,,True,,20,,,,46,46,,root_cause
,,CVE-2020-15389,,,True,,3,,,,2,2,,root_cause
,,CVE-2020-15466,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-19667,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-1967,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-1971,,,True,,3,,,,4,4,,root_cause
,,CVE-2020-25663,,,True,,3,,,,2,2,,root_cause
,,CVE-2020-27814,,,True,,2,,,,0,0,,root_cause
,,CVE-2020-27823,,,True,,3,,,,1,1,,root_cause
,,CVE-2020-8169,,,True,,5,,,,3,3,,root_cause
,,CVE-2020-8177,,,True,,4,,,,2,2,,root_cause
,,CVE-2020-8231,,,True,,7,,,,9,9,,root_cause
,,CVE-2021-23840,,,True,,6,,,,10,10,,root_cause
,,CVE-2022-0171,,,True,,10,,,,18,18,,root_cause
,,CVE-2022-0185,,,True,,3,,,,1,1,,root_cause
,,CVE-2022-0264,,,True,,3,,,,1,1,,root_cause
,,CVE-2022-0286,,,True,,3,,,,1,1,,root_cause
,,CVE-2022-0322,,,True,,3,,,,1,1,,root_cause
,,CVE-2022-0433,,,True,,3,,,,2,2,,root_cause
,11,CVE-2020-11869,1,1,True,,,11,1,1,,,,szz_anchor
,80,CVE-2020-11984,2,2,True,,,150,2,2,,,,szz_anchor
,40,CVE-2020-13164,1,1,True,,,2423,1,1,,,,szz_anchor
,40,CVE-2020-14212,2,2,True,,,630,1,1,,,,szz_anchor
,40,CVE-2020-15389,1,1,True,,,443,1,1,,,,szz_anchor
,40,CVE-2020-19667,1,1,True,,,261,1,1,,,,szz_anchor
,1,CVE-2020-1967,1,1,True,,,1,1,1,,,,szz_anchor
,40,CVE-2020-8231,1,1,True,,,117,1,1,,,,szz_anchor
,40,CVE-2022-0171,1,1,True,,,462,1,1,,,,szz_anchor
,28,CVE-2022-0286,1,1,True,,,28,1,1,,,,szz_anchor
,14,CVE-2020-10251,1,1,True,,,14,1,1,,,,szz_anchor
,2,CVE-2020-10702,1,1,True,,,2,1,1,,,,szz_anchor
,40,CVE-2020-11647,1,1,True,,,1184,1,1,,,,szz_anchor
,11,CVE-2020-11869,1,1,True,,,11,1,1,,,,szz_anchor
,2,CVE-2020-11947,1,1,True,,,2,1,1,,,,szz_anchor
,80,CVE-2020-11984,2,2,True,,,150,2,2,,,,szz_anchor
,7,CVE-2020-11985,1,1,True,,,7,1,1,,,,szz_anchor
,80,CVE-2020-11993,2,2,True,,,475,2,2,,,,szz_anchor
,40,CVE-2020-12284,3,3,True,,,384,1,1,,,,szz_anchor
,40,CVE-2020-13164,1,1,True,,,2423,1,1,,,,szz_anchor
,200,CVE-2020-13904,15,15,True,,,2992,5,5,,,,szz_anchor
,40,CVE-2020-14212,2,2,True,,,630,1,1,,,,szz_anchor
,40,CVE-2020-15389,1,1,True,,,443,1,1,,,,szz_anchor
,40,CVE-2020-15466,1,1,True,,,56,1,1,,,,szz_anchor
,1,CVE-2020-1967,1,1,True,,,1,1,1,,,,szz_anchor
,8,CVE-2020-1971,1,1,True,,,8,1,1,,,,szz_anchor
,40,CVE-2020-25663,1,1,True,,,335,1,1,,,,szz_anchor
,0,CVE-2020-27814,0,0,True,,,0,0,0,,,,szz_anchor
,2,CVE-2020-27823,1,1,True,,,2,1,1,,,,szz_anchor
,8,CVE-2020-8169,1,1,True,,,8,1,1,,,,szz_anchor
,40,CVE-2020-8177,1,1,True,,,1671,1,1,,,,szz_anchor
,40,CVE-2020-8231,1,1,True,,,117,1,1,,,,szz_anchor
,40,CVE-2021-23840,1,1,True,,,184,1,1,,,,szz_anchor
,40,CVE-2022-0171,1,1,True,,,462,1,1,,,,szz_anchor
,1,CVE-2022-0185,1,1,True,,,1,1,1,,,,szz_anchor
,3,CVE-2022-0264,1,1,True,,,3,1,1,,,,szz_anchor
,28,CVE-2022-0286,1,1,True,,,28,1,1,,,,szz_anchor
,1,CVE-2022-0322,1,1,True,,,1,1,1,,,,szz_anchor
,11,CVE-2022-0433,1,1,True,,,11,1,1,,,,szz_anchor
2,,CVE-2020-10251,,,True,2,,,,,,,0,judge_blind
1,,CVE-2020-10702,,,True,1,,,,,,,0,judge_blind
3,,CVE-2020-11647,,,True,3,,,,,,,0,judge_blind
2,,CVE-2020-11869,,,True,2,,,,,,,0,judge_blind
1,,CVE-2020-11947,,,True,1,,,,,,,0,judge_blind
3,,CVE-2020-11984,,,True,3,,,,,,,0,judge_blind
1,,CVE-2020-11985,,,True,1,,,,,,,0,judge_blind
1,,CVE-2020-11993,,,True,1,,,,,,,0,judge_blind
1,,CVE-2020-12284,,,True,1,,,,,,,0,judge_blind
2,,CVE-2020-13164,,,True,2,,,,,,,0,judge_blind
5,,CVE-2020-13904,,,True,5,,,,,,,0,judge_blind
3,,CVE-2020-14212,,,True,3,,,,,,,0,judge_blind
3,,CVE-2020-15389,,,True,3,,,,,,,0,judge_blind
2,,CVE-2020-15466,,,True,2,,,,,,,0,judge_blind
3,,CVE-2020-19667,,,True,3,,,,,,,0,judge_blind
1,,CVE-2020-1967,,,True,1,,,,,,,0,judge_blind
2,,CVE-2020-1971,,,True,2,,,,,,,0,judge_blind
2,,CVE-2020-25663,,,True,2,,,,,,,0,judge_blind
1,,CVE-2020-27814,,,True,1,,,,,,,0,judge_blind
1,,CVE-2020-27823,,,True,1,,,,,,,0,judge_blind
4,,CVE-2020-8169,,,True,4,,,,,,,0,judge_blind
3,,CVE-2020-8177,,,True,3,,,,,,,0,judge_blind
2,,CVE-2020-8231,,,True,2,,,,,,,0,judge_blind
2,,CVE-2021-23840,,,True,2,,,,,,,0,judge_blind
2,,CVE-2022-0171,,,True,2,,,,,,,0,judge_blind
1,,CVE-2022-0185,,,True,1,,,,,,,0,judge_blind
1,,CVE-2022-0264,,,True,1,,,,,,,0,judge_blind
2,,CVE-2022-0286,,,True,2,,,,,,,0,judge_blind
1,,CVE-2022-0322,,,True,1,,,,,,,0,judge_blind
3,,CVE-2022-0433,,,True,3,,,,,,,0,judge_blind
