field_path,occurrences,approx_bytes,file_count,classification,example_files
candidates,175,45882197,175,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/compact_candidate_inventory.json | szz10:CVE-2020-11869/pre_fix_candidate_inventory.json
results,3,2863422,3,keep_in_model_view,szz10:summary.json | rootcause30:summary.json | szz30:summary.json
details,59,2770695,59,keep_in_model_view,rootcause30:CVE-2020-10251/contract_lint.json | rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/contract_lint.json
results[].ingestion_result,30,2766753,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
results[].ingestion_result.details,30,2760125,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
results[].ingestion_result.details.structural_validation,29,2654863,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation,29,2654863,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
git_trace,118,1631073,118,keep_in_model_view,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/pre_fix_candidate_inventory.json
patch_evidence,30,1585312,30,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-11647/root_cause_packet.json
results[].ingestion_result.details.structural_validation.packet_index,29,1471046,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index,29,1471046,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index,29,1471046,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
results[].ingestion_result.details.structural_validation.packet_index.patch_hunks,29,948938,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.patch_hunks,29,948938,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.patch_hunks,29,948938,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
candidates[].diagnostic,80,739521,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
