stage,cve_id,before_bytes,after_bytes,reduction_rate,source_prompt
root_cause_10,CVE-2020-11869,66781,33407,0.499753,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-11869\prompt.txt
root_cause_10,CVE-2020-11984,115878,46935,0.594962,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-11984\prompt.txt
root_cause_10,CVE-2020-13164,94092,41058,0.56364,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-13164\prompt.txt
root_cause_10,CVE-2020-14212,429994,160353,0.627081,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-14212\prompt.txt
root_cause_10,CVE-2020-15389,50018,27221,0.455776,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-15389\prompt.txt
root_cause_10,CVE-2020-19667,40411,23693,0.413699,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-19667\prompt.txt
root_cause_10,CVE-2020-1967,46340,24437,0.472659,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-1967\prompt.txt
root_cause_10,CVE-2020-8231,123082,48785,0.603638,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2020-8231\prompt.txt
root_cause_10,CVE-2022-0171,208620,74916,0.640897,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2022-0171\prompt.txt
root_cause_10,CVE-2022-0286,48415,25045,0.482702,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-10\CVE-2022-0286\prompt.txt
root_cause_30,CVE-2020-10251,48081,25753,0.464383,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-10251\prompt.txt
root_cause_30,CVE-2020-10702,52008,26801,0.484675,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-10702\prompt.txt
root_cause_30,CVE-2020-11647,76825,36876,0.52,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-11647\prompt.txt
root_cause_30,CVE-2020-11869,66397,33253,0.499179,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-11869\prompt.txt
root_cause_30,CVE-2020-11947,47662,24609,0.483677,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-11947\prompt.txt
root_cause_30,CVE-2020-11984,115877,46935,0.594958,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-11984\prompt.txt
root_cause_30,CVE-2020-11985,69319,31663,0.543228,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-11985\prompt.txt
root_cause_30,CVE-2020-11993,1137637,363041,0.680882,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-11993\prompt.txt
root_cause_30,CVE-2020-12284,93249,38152,0.590859,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-12284\prompt.txt
root_cause_30,CVE-2020-13164,93708,41051,0.561926,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-13164\prompt.txt
root_cause_30,CVE-2020-13904,468059,151202,0.67696,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-13904\prompt.txt
root_cause_30,CVE-2020-14212,429610,160199,0.627106,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-14212\prompt.txt
root_cause_30,CVE-2020-15389,50018,27221,0.455776,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-15389\prompt.txt
root_cause_30,CVE-2020-15466,64275,26192,0.592501,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-15466\prompt.txt
root_cause_30,CVE-2020-19667,40219,23693,0.4109,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-19667\prompt.txt
root_cause_30,CVE-2020-1967,46340,24437,0.472659,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-1967\prompt.txt
root_cause_30,CVE-2020-1971,72314,32635,0.548704,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-1971\prompt.txt
root_cause_30,CVE-2020-25663,48015,26303,0.452192,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-25663\prompt.txt
root_cause_30,CVE-2020-27814,25344,20756,0.181029,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-27814\prompt.txt
root_cause_30,CVE-2020-27823,44710,25480,0.430105,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-27823\prompt.txt
root_cause_30,CVE-2020-8169,71090,30888,0.565509,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-8169\prompt.txt
root_cause_30,CVE-2020-8177,58933,29467,0.499992,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-8177\prompt.txt
root_cause_30,CVE-2020-8231,122700,48632,0.603651,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2020-8231\prompt.txt
root_cause_30,CVE-2021-23840,109523,47127,0.569707,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2021-23840\prompt.txt
root_cause_30,CVE-2022-0171,208620,74916,0.640897,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2022-0171\prompt.txt
root_cause_30,CVE-2022-0185,45415,24780,0.454365,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2022-0185\prompt.txt
root_cause_30,CVE-2022-0264,50713,25771,0.491827,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2022-0264\prompt.txt
root_cause_30,CVE-2022-0286,48415,25045,0.482702,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2022-0286\prompt.txt
root_cause_30,CVE-2022-0322,47152,25066,0.4684,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2022-0322\prompt.txt
root_cause_30,CVE-2022-0433,49925,26930,0.460591,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-optimized-contract-30-deepseek\CVE-2022-0433\prompt.txt
szz_anchor_10,CVE-2020-11869,28898,24931,0.137276,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-11869\szz_handoff_prompt.txt
szz_anchor_10,CVE-2020-11984,110964,96790,0.127735,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-11984\szz_handoff_prompt.txt
szz_anchor_10,CVE-2020-13164,64424,53548,0.168819,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-13164\szz_handoff_prompt.txt
szz_anchor_10,CVE-2020-14212,73915,56107,0.240925,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-14212\szz_handoff_prompt.txt
szz_anchor_10,CVE-2020-15389,58236,51174,0.121265,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-15389\szz_handoff_prompt.txt
szz_anchor_10,CVE-2020-19667,54372,48691,0.104484,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-19667\szz_handoff_prompt.txt
