artifact_set,stage,cve_id,file,bytes
judge30,packet,CVE-2020-10251,CVE-2020-10251/judge_blind_input_packet.json,9108
judge30,packet,CVE-2020-10702,CVE-2020-10702/judge_blind_input_packet.json,4741
judge30,packet,CVE-2020-11647,CVE-2020-11647/judge_blind_input_packet.json,44730
judge30,packet,CVE-2020-11869,CVE-2020-11869/judge_blind_input_packet.json,7688
judge30,packet,CVE-2020-11947,CVE-2020-11947/judge_blind_input_packet.json,5746
judge30,packet,CVE-2020-11984,CVE-2020-11984/judge_blind_input_packet.json,10369
judge30,packet,CVE-2020-11985,CVE-2020-11985/judge_blind_input_packet.json,3859
judge30,packet,CVE-2020-11993,CVE-2020-11993/judge_blind_input_packet.json,3355
judge30,packet,CVE-2020-12284,CVE-2020-12284/judge_blind_input_packet.json,27386
judge30,packet,CVE-2020-13164,CVE-2020-13164/judge_blind_input_packet.json,37290
judge30,packet,CVE-2020-13904,CVE-2020-13904/judge_blind_input_packet.json,103740
judge30,packet,CVE-2020-14212,CVE-2020-14212/judge_blind_input_packet.json,24333
judge30,packet,CVE-2020-15389,CVE-2020-15389/judge_blind_input_packet.json,10802
judge30,packet,CVE-2020-15466,CVE-2020-15466/judge_blind_input_packet.json,29334
judge30,packet,CVE-2020-19667,CVE-2020-19667/judge_blind_input_packet.json,21541
judge30,packet,CVE-2020-1967,CVE-2020-1967/judge_blind_input_packet.json,3353
judge30,packet,CVE-2020-1971,CVE-2020-1971/judge_blind_input_packet.json,20168
judge30,packet,CVE-2020-25663,CVE-2020-25663/judge_blind_input_packet.json,9883
judge30,packet,CVE-2020-27814,CVE-2020-27814/judge_blind_input_packet.json,3990
judge30,packet,CVE-2020-27823,CVE-2020-27823/judge_blind_input_packet.json,4652
judge30,packet,CVE-2020-8169,CVE-2020-8169/judge_blind_input_packet.json,16981
judge30,packet,CVE-2020-8177,CVE-2020-8177/judge_blind_input_packet.json,10241
judge30,packet,CVE-2020-8231,CVE-2020-8231/judge_blind_input_packet.json,9316
judge30,packet,CVE-2021-23840,CVE-2021-23840/judge_blind_input_packet.json,12046
judge30,packet,CVE-2022-0171,CVE-2022-0171/judge_blind_input_packet.json,7738
judge30,packet,CVE-2022-0185,CVE-2022-0185/judge_blind_input_packet.json,3455
judge30,packet,CVE-2022-0264,CVE-2022-0264/judge_blind_input_packet.json,3270
judge30,packet,CVE-2022-0286,CVE-2022-0286/judge_blind_input_packet.json,6340
judge30,packet,CVE-2022-0322,CVE-2022-0322/judge_blind_input_packet.json,3845
judge30,packet,CVE-2022-0433,CVE-2022-0433/judge_blind_input_packet.json,14417
rootcause30,prompt,CVE-2020-10251,CVE-2020-10251/prompt.txt,48081
rootcause30,packet,CVE-2020-10251,CVE-2020-10251/root_cause_packet.json,16851
rootcause30,prompt,CVE-2020-10702,CVE-2020-10702/prompt.txt,52008
rootcause30,packet,CVE-2020-10702,CVE-2020-10702/root_cause_packet.json,17140
rootcause30,prompt,CVE-2020-11647,CVE-2020-11647/prompt.txt,76825
rootcause30,packet,CVE-2020-11647,CVE-2020-11647/root_cause_packet.json,40303
rootcause30,prompt,CVE-2020-11869,CVE-2020-11869/prompt.txt,66397
rootcause30,packet,CVE-2020-11869,CVE-2020-11869/root_cause_packet.json,31866
rootcause30,prompt,CVE-2020-11947,CVE-2020-11947/prompt.txt,47662
rootcause30,packet,CVE-2020-11947,CVE-2020-11947/root_cause_packet.json,11124
rootcause30,prompt,CVE-2020-11984,CVE-2020-11984/prompt.txt,115877
rootcause30,packet,CVE-2020-11984,CVE-2020-11984/root_cause_packet.json,51862
rootcause30,prompt,CVE-2020-11985,CVE-2020-11985/prompt.txt,69319
rootcause30,packet,CVE-2020-11985,CVE-2020-11985/root_cause_packet.json,23668
rootcause30,prompt,CVE-2020-11993,CVE-2020-11993/prompt.txt,1137637
rootcause30,packet,CVE-2020-11993,CVE-2020-11993/root_cause_packet.json,916145
