cve_id,repo,candidate_commit_sha,candidate_source,evidence_level,lifecycle,variant_agreement,canonical_blame_commit_sha,line_survival_status,candidate_is_ancestor_of_fix,risk_flags,confidence_features
CVE-2020-10251,ImageMagick,8c69a644b1a32dd032541d123d232003f05887f8,strong,strong,raw_candidate,move_copy_differs,8c69a644b1a32dd032541d123d232003f05887f8,survives_to_fix_parent,True,move_copy_sensitive_blame;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch
CVE-2020-10251,ImageMagick,f6cad26b6004600b64093c9a135fbc42d49b6806,strong,strong,raw_candidate,all_same,f6cad26b6004600b64093c9a135fbc42d49b6806,survives_to_fix_parent,True,candidate_in_fix_series_hint;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-10702,qemu,990870b205ddfdba3fd3c1321e6083005ef59d1a,strong,strong,raw_candidate,all_same,990870b205ddfdba3fd3c1321e6083005ef59d1a,survives_to_fix_parent,True,non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11647,wireshark,01f7356f85d33567a25e722e6488addd72ff64d4,strong,strong,raw_candidate,all_same,01f7356f85d33567a25e722e6488addd72ff64d4,survives_to_fix_parent,True,add_only_semantic_anchor;non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11647,wireshark,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,strong,strong,raw_candidate,move_copy_differs,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,survives_to_fix_parent,True,add_only_semantic_anchor;move_copy_sensitive_blame;non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch
CVE-2020-11647,wireshark,809fb769b4b903c1f1e003dcd24e7ab1b15402e8,strong,strong,raw_candidate,whitespace_differs,59277781ffca44a2cccb5e935ce3737aabbf4da6,survives_to_fix_parent,True,add_only_semantic_anchor;candidate_in_fix_series_hint;non_release_tag_noise;release_line_overreach;release_reachability_too_broad;whitespace_sensitive_blame,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch
CVE-2020-11869,qemu,584acf34cb05f16e13a46d666196a7583d232616,strong,strong,raw_candidate,all_same,584acf34cb05f16e13a46d666196a7583d232616,survives_to_fix_parent,True,candidate_in_fix_series_hint;non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11869,qemu,862b4a291dcf143fdb227e97feb7fd45e6466aca,strong,strong,raw_candidate,all_same,862b4a291dcf143fdb227e97feb7fd45e6466aca,survives_to_fix_parent,True,non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11947,qemu,983924532f61091fd90d1f2fafa4aa938c414dbb,strong,strong,raw_candidate,all_same,983924532f61091fd90d1f2fafa4aa938c414dbb,survives_to_fix_parent,True,non_release_tag_noise;release_reachability_too_broad,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11984,httpd,99c59e098103ccf13b833281ec08493e042dfee0,strong,strong,raw_candidate,all_same,99c59e098103ccf13b833281ec08493e042dfee0,survives_to_fix_parent,True,non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11984,httpd,23394f444cc73d6b01af5a8109f79c156a26607c,strong,strong,raw_candidate,all_same,23394f444cc73d6b01af5a8109f79c156a26607c,survives_to_fix_parent,True,non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11984,httpd,da54e90ddaa01c02a68fda8dc08004c97cb4aa2b,strong,strong,raw_candidate,whitespace_differs,7a6038c97eb8fe1578bc33b73f4f88904639988f,survives_to_fix_parent,True,non_release_tag_noise;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch
CVE-2020-11985,httpd,f3f2abdb9eddec36f839ce870a32f6d6916fe49d,strong,strong,raw_candidate,all_same,f3f2abdb9eddec36f839ce870a32f6d6916fe49d,survives_to_fix_parent,True,release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-11993,httpd,c671673db96e286e2321d5babf05c767cb76a1ef,strong,strong,raw_candidate,move_copy_differs,c671673db96e286e2321d5babf05c767cb76a1ef,survives_to_fix_parent,True,candidate_in_fix_series_hint;move_copy_sensitive_blame;non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch
CVE-2020-12284,FFmpeg,525de2000b018c659c5dd472610305cb2ffb9edc,fallback,fallback,raw_candidate,all_same,525de2000b018c659c5dd472610305cb2ffb9edc,survives_to_fix_parent,True,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-13164,wireshark,354b4b74d08fbafe23c7929f1f68eb4c84df4e2f,strong,strong,raw_candidate,all_same,354b4b74d08fbafe23c7929f1f68eb4c84df4e2f,survives_to_fix_parent,True,non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;stable_blame_variants
CVE-2020-13164,wireshark,c38eb2f027ace5a85007fb67084d2fa927467540,strong,strong,raw_candidate,all_same,c38eb2f027ace5a85007fb67084d2fa927467540,survives_to_fix_parent,True,non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-13904,FFmpeg,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,fallback,fallback,raw_candidate,all_same,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,survives_to_fix_parent,True,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;stable_blame_variants
CVE-2020-13904,FFmpeg,84465f2180308a3e998089517e76586563fd6162,fallback,fallback,raw_candidate,all_same,513a431e073ab725eb85fe7021591da9ad27a55f,survives_to_fix_parent,True,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound;stable_blame_variants
CVE-2020-13904,FFmpeg,9371d70bad2eab6c95df7d182d08e1cc53c6099a,fallback,fallback,raw_candidate,all_same,9371d70bad2eab6c95df7d182d08e1cc53c6099a,survives_to_fix_parent,True,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-13904,FFmpeg,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,fallback,fallback,raw_candidate,all_same,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,survives_to_fix_parent,True,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound;stable_blame_variants
CVE-2020-13904,FFmpeg,4e0860e36305c768c3d97b41d38122e59a18da87,fallback,fallback,raw_candidate,all_same,4e0860e36305c768c3d97b41d38122e59a18da87,survives_to_fix_parent,True,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-14212,FFmpeg,2558e62713ebc5f3ea22c1a28d8e9cf3249badaf,fallback,fallback,raw_candidate,all_same,2558e62713ebc5f3ea22c1a28d8e9cf3249badaf,survives_to_fix_parent,True,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-14212,FFmpeg,f73cc61bf5aa383048979f4de2023877c522f6be,fallback,fallback,raw_candidate,all_same,f73cc61bf5aa383048979f4de2023877c522f6be,survives_to_fix_parent,True,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-14212,FFmpeg,ffa1561608f513b3a5d3d1568f75126f21bce663,fallback,fallback,raw_candidate,all_same,ffa1561608f513b3a5d3d1568f75126f21bce663,survives_to_fix_parent,True,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants
CVE-2020-15389,openjpeg,055d429ae11ad98dfd3dc68d188ec538588d805c,strong,strong,raw_candidate,whitespace_differs,563bd8499e63db976ca8358216138647593354bc,survives_to_fix_parent,True,non_release_tag_noise;whitespace_sensitive_blame,candidate_ancestor_of_fix;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound
