cve_id,repo_id,candidate_id,source_lane,anchor_path,anchor_old_line,anchor_old_line_text,candidate_commit_sha,selected_parent_sha,canonical_blame_commit,blame_w_commit,blame_M_commit,blame_C_commit,log_L_top_commits,changed_paths_summary,conflict_flags,extraction_status,review_priority,reviewer_label,reviewer_confidence,reviewer_notes
CVE-2020-11647,wireshark,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,strong,epan/dissectors/packet-bacapp.c,14074,static int,01f7356f85d33567a25e722e6488addd72ff64d4,b776707af540d7431e815818e21ea1efac326d9f,01f7356f85d33567a25e722e6488addd72ff64d4,01f7356f85d33567a25e722e6488addd72ff64d4,01f7356f85d33567a25e722e6488addd72ff64d4,01f7356f85d33567a25e722e6488addd72ff64d4,01f7356f85d33567a25e722e6488addd72ff64d4 6de0c799d8031d559085e762b6ebba24ab40380b 0f66df8509835e499db8cad904b7e63e9996d2e3 ab32b090b72047d3ed37852f5b40a5de386a433a 39ad72864f4d8eedad5f6a1e9f31d34641888171 ea23bf66f9a509261e618139acfa0d6fcc6c0212 c97f7034a8c2bd2381e79de1d15119367482da8a,"{""count"": 48, ""paths"": [""epan/dissectors/packet-amr.c"", ""epan/dissectors/packet-ansi_637.c"", ""epan/dissectors/packet-ansi_801.c"", ""epan/dissectors/packet-app-pkix-cert.c"", ""epan/dissectors/packet-at.c"", ""epan/dissectors/packet-ax25-kiss.c"", ""epan/dissectors/packet-ax25-nol3.c"", ""epan/dissectors/packet-ax25.c"", ""epan/dissectors/packet-bacapp.c"", ""epan/dissectors/packet-bacnet.c"", ""epan/dissectors/packet-bencode.c"", ""epan/dissectors/packet-bfd.c"", ""epan/dissectors/packet-bmc.c"", ""epan/dissectors/packet-bpdu.c"", ""epan/dissectors/packet-bpq.c"", ""epan/dissectors/packet-catapult-dct2000.c"", ""epan/dissectors/packet-cbor.c"", ""epan/dissectors/packet-cell_broadcast.c"", ""epan/dissectors/packet-cell_broadcast.h"", ""epan/dissectors/packet-cfdp.c""]}",parent_context_not_found,parent:ambiguous;candidate:found;diff:found;function:unavailable,P0,,,
CVE-2020-11647,wireshark,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,strong,epan/dissectors/packet-bacapp.c,7990,"    while (tvb_reported_length_remaining(tvb, offset) > 0) {  /* exit loop if nothing happens inside */",63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,1f807cc26a675952bb36f594731d9a7458f166b9,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff 798fabed724c6cf343628da49f002df9541df0fa 966c4e2697e81a95bd23bd3e4c18c539cf02eb6f a148a936b180524ac44a4b4f195d8ea6774bf216 c8726eda61fa87c1d67b4c094e9224ee7ea93aaa 6de0c799d8031d559085e762b6ebba24ab40380b 10ffd14b8f9c052a9d44faaba462ff36f5542f7a eeb2d89d9232730d1c572ee852cd6ef75e76779d 46ccbb5bbfac41217fcbdb729415d9d0fb811218 809fb769b4b903c1f1e003dcd24e7ab1b15402e8 1e7878b53d433cbb5390cea41656d9c199494164 b6953e2c26923d3bb6dd3d9be2d5b262fa8227da 3e1365cc151d1848beab7574110ab8df3a9bbe88 3eddf57266dacf85308f583e3a7504fe67dd18ef e2ee2bcab647a699c0d75899490fb0e937f905d9 9295f8a88cb7d97d91164c698d194832be75e052 8774e7e28e4930e93ec6c21f1f81ba8acc6e61de c52c64684210162433fb670c565f9512ad41092d 4a5c674c041d2acfc88d13ff8b6f4d0dacde7637 e6856b69f3ebf85a1a37cb7c7a508f2be41fb1fe,"{""count"": 1, ""paths"": [""epan/dissectors/packet-bacapp.c""]}",,parent:found;candidate:found;diff:found;function:unavailable,P1,,,
CVE-2020-11647,wireshark,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,strong,epan/dissectors/packet-bacapp.c,7972,"fAbstractSyntaxNType(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree, guint offset)",809fb769b4b903c1f1e003dcd24e7ab1b15402e8,0ff1dd714271d808c462afaa2fc9b313a8efa2b0,59277781ffca44a2cccb5e935ce3737aabbf4da6,809fb769b4b903c1f1e003dcd24e7ab1b15402e8,59277781ffca44a2cccb5e935ce3737aabbf4da6,59277781ffca44a2cccb5e935ce3737aabbf4da6,59277781ffca44a2cccb5e935ce3737aabbf4da6 809fb769b4b903c1f1e003dcd24e7ab1b15402e8 0f66df8509835e499db8cad904b7e63e9996d2e3 9c1502e3e051a43beeff5c76b1099f927287b711,"{""count"": 2, ""paths"": [""epan/dissectors/packet-bacapp.c"", ""epan/dissectors/packet-bacapp.h""]}","blame_variant_disagreement,whitespace_sensitive,parent_context_not_found,candidate_context_not_found",parent:not_found;candidate:not_found;diff:found;function:unavailable,P0,,,
CVE-2020-13904,FFmpeg,pre-fix-line:02183be7a8cd9b3868eef1d3c1081242f980cf85a5befda2723d4557b9004400,fallback,libavformat/hls.c,1634,"                                    NULL, 0, 0);",6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,d3964da2c2d5e92b555a89e9650ad5e6c1d10010,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232 cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,"{""count"": 1, ""paths"": [""libavformat/applehttp.c""]}","fallback_weakness,parent_context_not_found",parent:absent_by_event;candidate:found;diff:found;function:unavailable,P0,,,
CVE-2020-13904,FFmpeg,pre-fix-line:0212df27dff8436a9635c5c2b67af43e482b17e54c8d835a002e7b64cf3f33f9,fallback,libavformat/hls.c,874,                } else {,84465f2180308a3e998089517e76586563fd6162,6e4f70a8de69884ce0caa8735d7a88915b4391d4,513a431e073ab725eb85fe7021591da9ad27a55f,513a431e073ab725eb85fe7021591da9ad27a55f,513a431e073ab725eb85fe7021591da9ad27a55f,513a431e073ab725eb85fe7021591da9ad27a55f,513a431e073ab725eb85fe7021591da9ad27a55f 84465f2180308a3e998089517e76586563fd6162 f1f60f5252b0b448adcce0c1c52f3161ee69b9bf cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,"{""count"": 2, ""paths"": [""libavformat/applehttp.c"", ""libavformat/version.h""]}","fallback_weakness,parent_context_not_found,candidate_context_not_found,anchor_diff_not_found",parent:path_missing;candidate:path_missing;diff:empty;function:unavailable,P0,,,
CVE-2020-13904,FFmpeg,pre-fix-line:00df78cbf490f771e8e032a5947b9d72d89dec748867aff3cbf303b50c622abd,fallback,libavformat/hls.c,1633,"        ret = av_probe_input_buffer(&pls->pb, &in_fmt, pls->segments[0]->url,",9371d70bad2eab6c95df7d182d08e1cc53c6099a,857841c1b63bf3ffacef03da2bd6275d55ead769,9371d70bad2eab6c95df7d182d08e1cc53c6099a,9371d70bad2eab6c95df7d182d08e1cc53c6099a,9371d70bad2eab6c95df7d182d08e1cc53c6099a,9371d70bad2eab6c95df7d182d08e1cc53c6099a,9371d70bad2eab6c95df7d182d08e1cc53c6099a 6cc7f1398257d4ffa89f79d52f10b2cabd9ad232 cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,"{""count"": 1, ""paths"": [""libavformat/hls.c""]}","fallback_weakness,parent_context_not_found",parent:absent_by_event;candidate:found;diff:found;function:unavailable,P0,,,
CVE-2020-13904,FFmpeg,pre-fix-line:0002f876f690452bb4401c02c7e8701cc5f7eb36c88f5eccd0f2b611ddcb2838,fallback,libavformat/hls.c,851,"        } else if (av_strstart(line, ""#"", NULL)) {",cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,e55ebcc3f6cf1f00ffd56ef0f357dc8010c6e046,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,"{""count"": 5, ""paths"": [""Changelog"", ""doc/general.texi"", ""libavformat/Makefile"", ""libavformat/allformats.c"", ""libavformat/applehttp.c""]}","fallback_weakness,parent_context_not_found",parent:absent_by_event;candidate:found;diff:found;function:unavailable,P0,,,
CVE-2020-13904,FFmpeg,pre-fix-line:0008c6bffbde88d7382eb138aad9bb4d426b586bac7abdffae88b3c77895a821,fallback,libavformat/hls.c,1874,                pls->broken = 1;,4e0860e36305c768c3d97b41d38122e59a18da87,cc61466058ef1689f98067a81d5d4706dac7544a,4e0860e36305c768c3d97b41d38122e59a18da87,4e0860e36305c768c3d97b41d38122e59a18da87,4e0860e36305c768c3d97b41d38122e59a18da87,4e0860e36305c768c3d97b41d38122e59a18da87,4e0860e36305c768c3d97b41d38122e59a18da87 9371d70bad2eab6c95df7d182d08e1cc53c6099a cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,"{""count"": 1, ""paths"": [""libavformat/hls.c""]}","fallback_weakness,parent_context_not_found",parent:absent_by_event;candidate:found;diff:found;function:unavailable,P0,,,
CVE-2020-15389,openjpeg,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,strong,src/bin/jp2/opj_decompress.c,1320,    opj_stream_t *l_stream = NULL;              /* Stream */,055d429ae11ad98dfd3dc68d188ec538588d805c,8231897b26096be299ef6f33ff7d5f42b45106d5,563bd8499e63db976ca8358216138647593354bc,055d429ae11ad98dfd3dc68d188ec538588d805c,563bd8499e63db976ca8358216138647593354bc,563bd8499e63db976ca8358216138647593354bc,563bd8499e63db976ca8358216138647593354bc d67cd2220a291b54718f731052be4a9397f67077 319fc971fef8a1e1c1c543506c26805873e3f258 838dfb8058df62af44905e1fa3936d989844effc f98df1c715df24176fa616046cfabbffde680c6f 238f4419abb035200ce1cf56f9da677f5eca8afb 56d3f5af6e12e4fb12ef9310ba7862fbc7d7bc5f 31f5efe453ded6a701c67993ab814a827ae08973 3bc360fc9d58b25493af4084394955e790fce26b 7aece5e8e7d4214d140a45aca50a824ff8092924 5a70e97f515a5cfbbc58e5f0580c731fb5eee677 f54de95802a9f94cf673f2363d06f05d34d543c7 472ce191832f429ca652d04c4b5f80af0b0c4f89 bf0fa4089fa33a4447054ff883acc92da604de52 af58e8e8f9d08c1e276a9ba070eb4d44a6ca4950 4bf4a7668eaeaa4b02051afe06b8ec3e0d805de3 e212154d8d43ec583cb6dc8f963b97988a54c11d 98682e1073211000495aa378e7da5bfb69b225c9 20beb093a1c39d5824938721a4c4c945197d23f8 9a9897a9de766e5de4df9e056fc6988c5e398565,"{""count"": 9, ""paths"": [""applications/codec/image_to_j2k.c"", ""applications/codec/j2k_dump.c"", ""applications/codec/j2k_to_image.c"", ""libopenjpeg/event.c"", ""libopenjpeg/event.h"", ""libopenjpeg/openjpeg.c"", ""libopenjpeg/openjpeg.h"", ""tests/j2k_random_tile_access.c"", ""tests/test_tile_encoder.c""]}","blame_variant_disagreement,log_L_disagreement,whitespace_sensitive,parent_context_not_found",parent:absent_by_event;candidate:found;diff:found;function:unavailable,P0,,,
CVE-2020-15389,openjpeg,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,strong,src/bin/jp2/opj_decompress.c,1322,    opj_codestream_index_t* cstr_index = NULL;,028088f5f077b6cc666f8152736398df68ec239b,21178c3571a74bb84c39055347210970c1c76666,563bd8499e63db976ca8358216138647593354bc,028088f5f077b6cc666f8152736398df68ec239b,563bd8499e63db976ca8358216138647593354bc,563bd8499e63db976ca8358216138647593354bc,563bd8499e63db976ca8358216138647593354bc d67cd2220a291b54718f731052be4a9397f67077 319fc971fef8a1e1c1c543506c26805873e3f258 838dfb8058df62af44905e1fa3936d989844effc f98df1c715df24176fa616046cfabbffde680c6f 238f4419abb035200ce1cf56f9da677f5eca8afb 56d3f5af6e12e4fb12ef9310ba7862fbc7d7bc5f 31f5efe453ded6a701c67993ab814a827ae08973 3bc360fc9d58b25493af4084394955e790fce26b 7aece5e8e7d4214d140a45aca50a824ff8092924 5a70e97f515a5cfbbc58e5f0580c731fb5eee677 f54de95802a9f94cf673f2363d06f05d34d543c7 472ce191832f429ca652d04c4b5f80af0b0c4f89 bf0fa4089fa33a4447054ff883acc92da604de52 af58e8e8f9d08c1e276a9ba070eb4d44a6ca4950 4bf4a7668eaeaa4b02051afe06b8ec3e0d805de3 e212154d8d43ec583cb6dc8f963b97988a54c11d 98682e1073211000495aa378e7da5bfb69b225c9 20beb093a1c39d5824938721a4c4c945197d23f8 9a9897a9de766e5de4df9e056fc6988c5e398565,"{""count"": 6, ""paths"": [""CHANGES"", ""applications/codec/j2k_to_image.c"", ""libopenjpeg/j2k.c"", ""libopenjpeg/j2k.h"", ""libopenjpeg/openjpeg.c"", ""libopenjpeg/openjpeg.h""]}","blame_variant_disagreement,log_L_disagreement,whitespace_sensitive,parent_context_not_found",parent:absent_by_event;candidate:found;diff:found;function:unavailable,P0,,,
