cve_id,repo_id,candidate_id,source_lane,side,revision_sha,original_line_hint,selected_path,relocated_line_start,relocation_status,match_kind,relation_to_anchor,evidence_ref_count,candidate_match_count,ambiguity_reason,failure_reason
CVE-2020-11647,wireshark,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,strong,parent,b776707af540d7431e815818e21ea1efac326d9f,,,,ambiguous,unavailable,unknown,0,4,duplicate_exact_matches:4,
CVE-2020-11647,wireshark,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,strong,candidate,01f7356f85d33567a25e722e6488addd72ff64d4,14074,epan/dissectors/packet-bacapp.c,10797,found,blame_coordinate_verified,same_statement,1,1,,
CVE-2020-11647,wireshark,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,strong,parent,1f807cc26a675952bb36f594731d9a7458f166b9,7990,epan/dissectors/packet-bacapp.c,6753,found,normalized_unique,same_statement,1,1,,
CVE-2020-11647,wireshark,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,strong,candidate,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,7990,epan/dissectors/packet-bacapp.c,6346,found,blame_coordinate_verified,same_statement,1,1,,
CVE-2020-11647,wireshark,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,strong,parent,0ff1dd714271d808c462afaa2fc9b313a8efa2b0,,,,not_found,unavailable,unknown,0,0,,anchor_text_not_found_in_provenance_paths
CVE-2020-11647,wireshark,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,strong,candidate,809fb769b4b903c1f1e003dcd24e7ab1b15402e8,,,,not_found,unavailable,unknown,0,0,,anchor_text_not_found_in_provenance_paths
CVE-2020-13904,FFmpeg,pre-fix-line:02183be7a8cd9b3868eef1d3c1081242f980cf85a5befda2723d4557b9004400,fallback,parent,d3964da2c2d5e92b555a89e9650ad5e6c1d10010,,,,absent_by_event,diff_hunk_mapped,introduced_in_candidate,1,0,,
CVE-2020-13904,FFmpeg,pre-fix-line:02183be7a8cd9b3868eef1d3c1081242f980cf85a5befda2723d4557b9004400,fallback,candidate,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,1634,libavformat/applehttp.c,384,found,exact_hash,introduced_in_candidate,1,1,,
CVE-2020-13904,FFmpeg,pre-fix-line:0212df27dff8436a9635c5c2b67af43e482b17e54c8d835a002e7b64cf3f33f9,fallback,parent,6e4f70a8de69884ce0caa8735d7a88915b4391d4,,,,path_missing,unavailable,unknown,0,0,,all_provenance_paths_missing:1
CVE-2020-13904,FFmpeg,pre-fix-line:0212df27dff8436a9635c5c2b67af43e482b17e54c8d835a002e7b64cf3f33f9,fallback,candidate,84465f2180308a3e998089517e76586563fd6162,,,,path_missing,unavailable,unknown,0,0,,all_provenance_paths_missing:1
CVE-2020-13904,FFmpeg,pre-fix-line:00df78cbf490f771e8e032a5947b9d72d89dec748867aff3cbf303b50c622abd,fallback,parent,857841c1b63bf3ffacef03da2bd6275d55ead769,,,,absent_by_event,diff_hunk_mapped,introduced_in_candidate,1,0,,
