cve_id,candidate_commit_sha,candidate_source,evidence_level,candidate_generation_mode,fix_commit_id,patch_family_id,path_before,old_line_start,role,selection_mode,risk_flags,predicted_release_tag_count,suitable_for_judge,included_in_blind_packet,fallback_rank,fallback_recommended,fallback_deprioritized_reason,blind_packet_path,audit_packet_path
CVE-2020-12284,525de2000b018c659c5dd472610305cb2ffb9edc,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:838105153a579ff0cea0794afc0275c19c51d3a7,patch-family:2f1257ccf171d97dee950e98b2ec16e6ee837d14,libavcodec/cbs_jpeg.c,167,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,9,True,True,1,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-12284\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-12284\judge_audit_packet.json
CVE-2020-13904,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:c00e881a450fc465e60f41bd47ea6396a87f3eef,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,851,dangerous_use,direct_deleted_line,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,280,True,True,4,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,9371d70bad2eab6c95df7d182d08e1cc53c6099a,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:0f6fa27b241676624bab91fc6ecdf8ac01121d29,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1633,dangerous_use,modified_old_side,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,161,True,True,3,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:0f6fa27b241676624bab91fc6ecdf8ac01121d29,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1634,dangerous_use,modified_old_side,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,280,True,True,1,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,84465f2180308a3e998089517e76586563fd6162,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:c229e5e80f1b67b2120f317e815fec29ca1390a5,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,874,dangerous_use,direct_deleted_line,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,280,True,True,2,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,edf4406c4dda0bd9b8ea20fa6f901a77d6a0902b,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:8a2ef6d25dc79d472ea7b184c3b95b4658c99838,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1687,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,144,True,False,20,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,4d85069e5dff37e4a9904767242b47e14cf62a9c,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:7dc5dfad31d1bc6cec5f4eb1f9033ce3b715425d,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1896,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,50,True,False,14,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,7a27aa15ec940f315f5446875db3757191f01a26,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:21ce988f98f2399b8919a8a425d467da682a29a7,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1776,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,100,True,False,24,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,4e0860e36305c768c3d97b41d38122e59a18da87,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:a3fdeb0c3a4ecabab2c2351b86fc92004526e9cc,patch-family:b6ab2dfb79383b15e7bad8ca3a15dd8f81b10bcc,libavformat/hls.c,1874,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,1,True,True,5,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,603b8bc2a109978c8499b06d2556f1433306eca7,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:8a2ef6d25dc79d472ea7b184c3b95b4658c99838,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1728,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,280,True,False,23,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,cdbd9e218d44d2bcf14f5e07894fa4f72a4696e2,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:c229e5e80f1b67b2120f317e815fec29ca1390a5,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,759,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,144,True,False,18,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,01b184e68d86d6ecd8e7a54b977734d710a917ab,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:0f6fa27b241676624bab91fc6ecdf8ac01121d29,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1684,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,144,True,False,10,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,04964ac311abe670fb3b60290a330f2067544b13,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:b5e39880fb7269b1b3577cee288e06aa3dc1dfa2,patch-family:b6ab2dfb79383b15e7bad8ca3a15dd8f81b10bcc,libavformat/hls.c,2050,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,50,True,False,11,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,0c73a5a53cc97f4291bbe9e1e68226edf6161744,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:8a2ef6d25dc79d472ea7b184c3b95b4658c99838,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1650,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,92,True,False,12,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,300512248536d701651b8ee26bc10f4427c9a832,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:b5e39880fb7269b1b3577cee288e06aa3dc1dfa2,patch-family:b6ab2dfb79383b15e7bad8ca3a15dd8f81b10bcc,libavformat/hls.c,2006,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,219,True,False,13,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,4e85202bcc26b09f45d358da8f4d43aca0d27c0e,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:0f6fa27b241676624bab91fc6ecdf8ac01121d29,patch-family:2720fe8a74a9588fe6c7899da93583de7069a67b,libavformat/hls.c,1539,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,144,True,False,15,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,513a431e073ab725eb85fe7021591da9ad27a55f,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:9dfb19baeb86a8bb02c53a441682c6e9a6e104cc,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,922,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,144,True,False,22,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,673d8cfd51888963caafe46a6d9a8691d0e91caa,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:c00e881a450fc465e60f41bd47ea6396a87f3eef,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,761,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,11,True,False,6,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,68a6178ef05a7fb16881f0447882d19f6dece025,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:6959358683c7533f586c07a766acc5fe9544d8b2,patch-family:e7ad6834850ef4b5bfa964d258cec88c51ee8737,libavformat/hls.c,767,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,15,True,False,7,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,8c929098141ebc94ad3f303521c520bb3dc6d8f6,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:c00e881a450fc465e60f41bd47ea6396a87f3eef,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,706,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,161,True,False,16,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,9e61141905b5197c8fbab2a651b4013361c8550f,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:9dfb19baeb86a8bb02c53a441682c6e9a6e104cc,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,856,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,11,True,False,8,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,b7d6c0cd48dac7869b9e6803e2d47d05a4fa373b,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:2a5219d359933b4d6a4ccf13e241253543fc390e,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,734,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,17,True,False,21,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,c48122d731be09db054befac8ab0ef47fd7d4dc2,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:f80106e256e051082e507496cdaed564adbd4da9,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,689,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,75,True,False,17,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
