cve_id,fallback_candidate_count,fallback_top1_release_f1,fallback_candidate_reason,has_root_cause_predicate_binding,from_parent_side_blameable_line,broad_hunk_or_context_only,suitable_for_judge,candidate_probe_count,no_candidate_reason
CVE-2020-12284,1,1.0,model_szz_handoff_blocked,True,True,True,True,1,
CVE-2020-13904,24,1.0,model_szz_handoff_blocked,True,True,True,True,24,
CVE-2020-14212,3,1.0,model_szz_handoff_blocked,True,True,False,True,3,
CVE-2020-10251,0,0.0,,False,False,False,False,2,
CVE-2020-19667,3,1.0,model_szz_handoff_blocked,True,True,False,True,3,
CVE-2020-25663,0,0.0,,False,False,False,False,2,
CVE-2020-8169,4,1.0,model_szz_handoff_blocked,True,True,True,True,4,
CVE-2020-8177,0,0.0,,False,False,False,False,3,
CVE-2020-8231,0,0.0,,False,False,False,False,2,
CVE-2020-11984,0,0.0,,False,False,False,False,3,
CVE-2020-11985,0,0.0,,False,False,False,False,1,
CVE-2020-11993,0,0.0,,False,False,False,False,1,
CVE-2022-0171,0,0.0,,False,False,False,False,2,
CVE-2022-0185,0,0.0,,False,False,False,False,1,
CVE-2022-0264,0,0.0,,False,False,False,False,1,
CVE-2022-0286,0,0.0,,False,False,False,False,2,
CVE-2022-0322,0,0.0,,False,False,False,False,1,
CVE-2022-0433,3,1.0,model_szz_handoff_blocked,True,True,True,True,3,
CVE-2020-15389,0,0.0,,False,False,False,False,3,
CVE-2020-27814,0,0.0,model_szz_handoff_blocked,False,False,False,False,0,no_blameable_old_side
CVE-2020-27823,0,0.0,,False,False,False,False,1,
CVE-2020-1967,0,0.0,,False,False,False,False,1,
CVE-2020-1971,2,0.6960000000000001,model_szz_handoff_blocked,True,True,False,True,2,
CVE-2021-23840,0,0.0,,False,False,False,False,2,
CVE-2020-10702,0,0.0,,False,False,False,False,1,
CVE-2020-11869,0,0.0,,False,False,False,False,2,
CVE-2020-11947,0,0.0,,False,False,False,False,1,
CVE-2020-11647,0,0.0,,False,False,False,False,3,
CVE-2020-13164,0,0.0,,False,False,False,False,2,
CVE-2020-15466,2,0.7197640117994101,model_szz_handoff_blocked,True,True,False,True,2,
