run_group,cve_id,backend_type,status,parse_status,contract_ok,case_disposition,candidate_count,ranked_count,excluded_count,uncertain_count,all_candidates_accounted,retry_used,session_id,prompt_bytes,raw_response_bytes,taxonomy
10,CVE-2020-14212,opencode,ok,fenced_json,True,ranked,3,3,0,0,True,False,ses_1294c24e8ffeSc5IuX7D2tXPFM,13240,6581,{}
10,CVE-2020-19667,opencode,ok,fenced_json,True,ranked,3,3,0,1,True,True,ses_1294af9fcffe0juOZUGOhISJmL,10706,4516,{}
10,CVE-2020-8231,opencode,ok,fenced_json,True,ranked,2,2,0,1,True,True,ses_1294a1bbcffeofmlmkwgztSbD2,12849,5447,{}
10,CVE-2020-11984,opencode,ok,fenced_json,True,uncertain,3,3,0,3,True,True,ses_1294964a1ffe8bvKMt406BfYbG,11822,2567,{}
10,CVE-2022-0171,opencode,ok,json,True,ranked,2,2,0,1,True,True,ses_12948100bffe8wHM6dP0ufWFe4,7816,4612,{}
10,CVE-2022-0286,opencode,ok,fenced_json,True,ranked,2,2,0,1,True,True,ses_129475386ffe6Q4vK3fTOGA42P,7597,3380,{}
10,CVE-2020-15389,opencode,ok,fenced_json,True,uncertain,3,3,0,3,True,True,ses_12946a2e9ffe57QNDpTo9Hdq9B,10859,6237,{}
10,CVE-2020-1967,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,False,ses_129465c84ffeyhOIVeHxS7tcU0,5211,2134,{}
10,CVE-2020-11869,opencode,ok,fenced_json,True,ranked,2,2,0,0,True,False,ses_129462257ffempx6GnPMn4O2oB,9658,4378,{}
10,CVE-2020-13164,opencode,ok,fenced_json,True,ranked,2,2,0,0,True,False,ses_129458790ffeZaKOIberAj6JEJ,9004,4213,{}
30,CVE-2020-10251,opencode,ok,fenced_json,True,uncertain,2,2,0,1,True,True,ses_129448df7ffe7IDAXK3ozvlZ6Y,6554,3386,{}
30,CVE-2020-10702,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,False,ses_129445037ffe1401fDr7lR6XKu,3881,2186,{}
30,CVE-2020-11647,opencode,ok,fenced_json,True,ranked,3,3,0,2,True,True,ses_129435c8affeBmTr7omrGFJ3aq,9602,5881,{}
30,CVE-2020-11869,opencode,ok,json,True,ranked,2,2,0,0,True,False,ses_1294309b5ffemBHdevx4i8bR2Y,9658,3466,{}
30,CVE-2020-11947,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,False,ses_129427d43ffeBwzA4KkDEAEcQF,3797,1791,{}
30,CVE-2020-11984,opencode,ok,fenced_json,True,ranked,3,3,0,1,True,False,ses_129423ff9ffeUWjXTmxBpchzSG,11822,7283,{}
30,CVE-2020-11985,opencode,ok,json,True,ranked,1,1,0,0,True,False,ses_12941a1baffeZtsDPWBOU6bR24,3903,1466,{}
30,CVE-2020-11993,opencode,ok,json,True,ranked,1,1,0,1,True,False,ses_12941645affee696jNSvoWPfsg,3927,2829,{}
30,CVE-2020-12284,opencode,ok,json,True,uncertain,1,1,0,1,True,False,ses_12940f64cffeAVONPb2ux40UCf,4037,1498,{}
30,CVE-2020-13164,opencode,ok,fenced_json,True,ranked,2,2,0,0,True,False,ses_12940c578ffefvsvlivR8H5ZMh,9004,4004,{}
30,CVE-2020-13904,opencode,ok,json,True,uncertain,5,5,0,5,True,False,ses_129400c56fferRXtzBZDpROEC4,15858,8558,{}
30,CVE-2020-14212,opencode,ok,json,True,ranked,3,3,0,0,True,False,ses_1293f4364ffeo5YeknRbS2Oa30,13240,5034,{}
30,CVE-2020-15389,opencode,ok,fenced_json,True,uncertain,3,3,0,3,True,True,ses_1293e8c59ffen0hIeH1KtfrQHp,10859,2831,{}
30,CVE-2020-15466,opencode,ok,fenced_json,True,uncertain,2,2,0,2,True,False,ses_1293db7f7ffeVsUo3pnDms4FhV,6980,3901,{}
30,CVE-2020-19667,opencode,ok,fenced_json,True,insufficient_evidence,3,3,0,1,True,True,ses_1293cb507ffeMxrhttZRxjVeT5,10706,6741,{}
30,CVE-2020-1967,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,False,ses_1293c4491ffe7Ho35A13LusWzd,5211,2155,{}
30,CVE-2020-1971,opencode,ok,fenced_json,True,uncertain,2,2,0,2,True,False,ses_1293bfe61ffehVxxCGwxN1TMtB,6997,3845,{}
30,CVE-2020-25663,opencode,ok,fenced_json,False,ranked,2,2,0,1,True,True,ses_1293b4ac8ffeTSuq6u99A66PyT,6396,2224,"{""conflicting_evidence_not_uncertain"": 1}"
30,CVE-2020-27814,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,True,ses_1293a1277ffeplcKSdT2EpgVlP,4069,1104,{}
30,CVE-2020-27823,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,True,ses_129396afbffejBDxA3aciJdZHL,3821,2524,{}
30,CVE-2020-8169,opencode,ok,fenced_json,True,ranked,4,4,0,0,True,True,ses_12938dbe8ffeB6IyWA406GS1si,12403,5640,{}
30,CVE-2020-8177,opencode,ok,fenced_json,True,ranked,3,3,0,0,True,False,ses_129389eb4ffeuo6Gh4vwCV0BCy,9018,5383,{}
30,CVE-2020-8231,opencode,ok,fenced_json,True,ranked,2,2,0,1,True,False,ses_12938130dffeDhuRW06C2V5nUh,12849,3847,{}
30,CVE-2021-23840,opencode,ok,fenced_json,True,ranked,2,2,0,1,True,False,ses_12937963cffejvNtU1EpBBsAwn,6765,4111,{}
30,CVE-2022-0171,opencode,ok,fenced_json,True,ranked,2,2,0,1,True,True,ses_129369ffaffeEX7zdr8ZFX639Z,7816,5279,{}
30,CVE-2022-0185,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,False,ses_12935f27cffevuEdNII1P5vCMS,3717,2231,{}
30,CVE-2022-0264,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,False,ses_12935af63ffeU5ZIgJJfaytixS,3758,1666,{}
30,CVE-2022-0286,opencode,ok,json,True,ranked,2,2,0,1,True,False,ses_129357579ffexPK3BmPkY9M9dP,7597,2995,{}
30,CVE-2022-0322,opencode,ok,fenced_json,True,ranked,1,1,0,0,True,False,ses_12935086dffeYoqIMH2JcJ0apI,4010,2001,{}
30,CVE-2022-0433,opencode,ok,fenced_json,True,uncertain,3,3,0,1,True,True,ses_12934491effevmlDKXuvRavoKX,9672,6169,{}
