cve_id,repo_id,candidate_id,source_lane,anchor_path,anchor_old_line,anchor_old_line_text,candidate_commit_sha,selected_parent_sha,blame_variants_summary,log_history_summary,relocation_summary,conflict_flags,suggested_review_priority,anchor_semantically_valid,relocated_context_valid,event_label,evidence_quality,notes
CVE-2020-8231,curl,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,strong,lib/connect.c,1397,    struct connectdata *c = data->state.lastconnect;,d021f2e8a0067fc769652f27afec9024c0d02b3d,ca5f4e21357a0b4a55e7a2a0f71e632442723989,agreement=all_same; canonical=d021f2e8a006; normal:found:d021f2e8a006:1135; w:found:d021f2e8a006:1135; M:found:d021f2e8a006:1135; C:found:d021f2e8a006:1135,"log_L_top: d021f2e8a0067fc769652f27afec9024c0d02b3d 1354871313 Introducing a new persistent connection caching system using ""bundles"". | diff --git a/lib/connect.c b/lib/connect.c | --- a/lib/connect.c || log_S_top: dbd16c3e256c6ce872829d1654785485361a0a78 1584266591 connect: happy eyeballs cleanup | 4a4b63daaa01ef59b131d91e8e6e6dfe275c0f08 1581894528 socks: make the connect phase non-blocking | 5050edb12484551f4c666212409c117cf38f9784 1567509072 cleanup: move functions out of url.c and make them static || log_G_top: 8df455479f8801bbebad8839fc96abbffa711603 1589525682 source cleanup: remove all custom typedef structs | dbd16c3e256c6ce872829d1654785485361a0a78 1584266591 connect: happy eyeballs cleanup | 4a4b63daaa01ef59b131d91e8e6e6dfe275c0f08 1581894528 socks: make the connect phase non-blocking || log_follow_top: 790137b0f701fc9dc8e40d903b89be9f1ecadd00 1596383924 win32: Add Curl_verify_windows_version() to curlx | 633c9478c91ff20887a9516139802e1042e6cf7a 1596214683 connect: remove redundant message about connect failure | dc90f510657875a95d8f82def2c1e79c7284c9dc 1592432442 connect: improve happy eyeballs handling",parent=absent_by_event/diff_hunk_mapped; candidate=found/exact_hash,parent_context_not_found,P0,,,,,
CVE-2020-8231,curl,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,strong,lib/multi.c,680,      data->state.lastconnect = conn;,07cb27c98e92649e74a312faf976271fa7da609c,85f0133ea14f411b4dae9c6239c83a67ca7bca89,agreement=disagreement; canonical=575e885db0f3; normal:found:575e885db0f3:629; w:found:07cb27c98e92:605; M:found:575e885db0f3:629; C:found:575e885db0f3:629,log_L_top: 575e885db0f3b2c50434f63269438fe21cbbb978 1459317148 multi: turn Curl_done into file local multi_done | diff --git a/lib/multi.c b/lib/multi.c | --- a/lib/multi.c || log_S_top: d5bb459ccf1fc5980ae4b95c05b4ecf6454a7599 1596288368 multi_remove_handle: close unused connect-only connections | 575e885db0f3b2c50434f63269438fe21cbbb978 1459317148 multi: turn Curl_done into file local multi_done | c43127414d89ccb9ef6517081f68986d991bcfb3 1358448035 always-multi: always use non-blocking internals || log_G_top: d5bb459ccf1fc5980ae4b95c05b4ecf6454a7599 1596288368 multi_remove_handle: close unused connect-only connections | 575e885db0f3b2c50434f63269438fe21cbbb978 1459317148 multi: turn Curl_done into file local multi_done | c43127414d89ccb9ef6517081f68986d991bcfb3 1358448035 always-multi: always use non-blocking internals || log_follow_top: da901fefe099708d81de6c413838ca9f1f48cbda 1597238926 multi: Remove 10-year old out-commented code | ca567dc5a4da8366eb7c4b88697fe41164c1938b 1596316889 multi: Condition 'extrawait' is always true | d5bb459ccf1fc5980ae4b95c05b4ecf6454a7599 1596288368 multi_remove_handle: close unused connect-only connections,parent=found/exact_hash; candidate=found/exact_hash,blame_variant_disagreement;log_L_disagreement;whitespace_sensitive,P0,,,,,
CVE-2020-11647,wireshark,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,strong,epan/dissectors/packet-bacapp.c,7972,"fAbstractSyntaxNType(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree, guint offset)",809fb769b4b903c1f1e003dcd24e7ab1b15402e8,0ff1dd714271d808c462afaa2fc9b313a8efa2b0,agreement=disagreement; canonical=59277781ffca; normal:found:59277781ffca:6707; w:found:809fb769b4b9:3077; M:found:59277781ffca:6707; C:found:59277781ffca:6707,log_L_top: 59277781ffca44a2cccb5e935ce3737aabbf4da6 1381691673 Minor whitespace changes | diff --git a/epan/dissectors/packet-bacapp.c b/epan/dissectors/packet-bacapp.c | --- a/epan/dissectors/packet-bacapp.c || log_S_top: 6aa3502306ca6acc7f15f894731b847bd75f6a4b 1514460708 Enhanced BACnet dissectors supporting BACnet revision 19. | 798fabed724c6cf343628da49f002df9541df0fa 1319990774 From Lori Tribble: | eeb2d89d9232730d1c572ee852cd6ef75e76779d 1258143876 From Herbert Lischka: - packet-bacapp.h eliminated and included in packet-bacapp.c - dissection of recipient-list and client-cov-increment added || log_G_top: 6aa3502306ca6acc7f15f894731b847bd75f6a4b 1514460708 Enhanced BACnet dissectors supporting BACnet revision 19. | 59277781ffca44a2cccb5e935ce3737aabbf4da6 1381691673 Minor whitespace changes | 63e31768817d2cfdbaeba77f73c85f5eb98dd1ff 1329789731 Always test tvb_reported_length_remaining() return val for '> 0' instead of '!=0' Also: Whitespace cleanup. || log_follow_top: e7a0c212e87be3dc57acd0451fd39163952da269 1568103960 BACNET: Update vendor ID list | 7204343d7a3eb2408f77f1c9589b498399ae12c5 1557420027 bacapp: fix wrong value for id 183 | fe219637a6748130266a0b0278166046e60a2d68 1518454198 dissectors: use SPDX identifiers.,parent=not_found/unavailable; candidate=not_found/unavailable,blame_variant_disagreement;candidate_context_not_found;parent_context_not_found;whitespace_sensitive,P0,,,,,
CVE-2020-11647,wireshark,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,strong,epan/dissectors/packet-bacapp.c,14074,static int,01f7356f85d33567a25e722e6488addd72ff64d4,b776707af540d7431e815818e21ea1efac326d9f,agreement=all_same; canonical=01f7356f85d3; normal:found:01f7356f85d3:10797; w:found:01f7356f85d3:10797; M:found:01f7356f85d3:10797; C:found:01f7356f85d3:10797,log_L_top: 01f7356f85d33567a25e722e6488addd72ff64d4 1447436664 register_dissector -> new_register_dissector | diff --git a/epan/dissectors/packet-bacapp.c b/epan/dissectors/packet-bacapp.c | --- a/epan/dissectors/packet-bacapp.c || log_S_top: 51d83583c1b6fcaafa8c31e76568b861d1144787 1515037396 bacapp: Add more enumerated values | 6aa3502306ca6acc7f15f894731b847bd75f6a4b 1514460708 Enhanced BACnet dissectors supporting BACnet revision 19. | af54b292e60fcdd8d03ec583e2b46c9c51f259a5 1485696544 Register reassembly tables || log_G_top: 51d83583c1b6fcaafa8c31e76568b861d1144787 1515037396 bacapp: Add more enumerated values | 6aa3502306ca6acc7f15f894731b847bd75f6a4b 1514460708 Enhanced BACnet dissectors supporting BACnet revision 19. | af54b292e60fcdd8d03ec583e2b46c9c51f259a5 1485696544 Register reassembly tables || log_follow_top: e7a0c212e87be3dc57acd0451fd39163952da269 1568103960 BACNET: Update vendor ID list | 7204343d7a3eb2408f77f1c9589b498399ae12c5 1557420027 bacapp: fix wrong value for id 183 | fe219637a6748130266a0b0278166046e60a2d68 1518454198 dissectors: use SPDX identifiers.,parent=ambiguous/unavailable; candidate=found/blame_coordinate_verified,parent_context_not_found,P0,,,,,
CVE-2020-11647,wireshark,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,strong,epan/dissectors/packet-bacapp.c,7990,"    while (tvb_reported_length_remaining(tvb, offset) > 0) {  /* exit loop if nothing happens inside */",63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,1f807cc26a675952bb36f594731d9a7458f166b9,agreement=all_same; canonical=63e31768817d; normal:found:63e31768817d:6346; w:found:63e31768817d:6346; M:found:63e31768817d:6346; C:found:63e31768817d:6346,log_L_top: 63e31768817d2cfdbaeba77f73c85f5eb98dd1ff 1329789731 Always test tvb_reported_length_remaining() return val for '> 0' instead of '!=0' Also: Whitespace cleanup. | diff --git a/epan/dissectors/packet-bacapp.c b/epan/dissectors/packet-bacapp.c | --- a/epan/dissectors/packet-bacapp.c || log_S_top: 51d83583c1b6fcaafa8c31e76568b861d1144787 1515037396 bacapp: Add more enumerated values | 6aa3502306ca6acc7f15f894731b847bd75f6a4b 1514460708 Enhanced BACnet dissectors supporting BACnet revision 19. | d05ad7f71bfb9fb90b5c686e85f35b2a151fd72a 1463063598 BACAPP: Added dissection for NotificationParameter || log_G_top: 51d83583c1b6fcaafa8c31e76568b861d1144787 1515037396 bacapp: Add more enumerated values | 6aa3502306ca6acc7f15f894731b847bd75f6a4b 1514460708 Enhanced BACnet dissectors supporting BACnet revision 19. | d05ad7f71bfb9fb90b5c686e85f35b2a151fd72a 1463063598 BACAPP: Added dissection for NotificationParameter || log_follow_top: e7a0c212e87be3dc57acd0451fd39163952da269 1568103960 BACNET: Update vendor ID list | 7204343d7a3eb2408f77f1c9589b498399ae12c5 1557420027 bacapp: fix wrong value for id 183 | fe219637a6748130266a0b0278166046e60a2d68 1518454198 dissectors: use SPDX identifiers.,parent=found/normalized_unique; candidate=found/blame_coordinate_verified,,P1,,,,,
CVE-2020-13904,FFmpeg,pre-fix-line:0212df27dff8436a9635c5c2b67af43e482b17e54c8d835a002e7b64cf3f33f9,fallback,libavformat/hls.c,874,                } else {,84465f2180308a3e998089517e76586563fd6162,6e4f70a8de69884ce0caa8735d7a88915b4391d4,agreement=all_same; canonical=513a431e073a; normal:found:513a431e073a:632; w:found:513a431e073a:632; M:found:513a431e073a:632; C:found:513a431e073a:632,log_L_top: 513a431e073ab725eb85fe7021591da9ad27a55f 1397261692 avformat/hls: reduce memory usage by using dynamically allocated url/key | diff --git a/libavformat/hls.c b/libavformat/hls.c | --- a/libavformat/hls.c || log_S_top: 51e3010575ca55ee64ffe3c48087d263e9c1e65f 1522811096 lavf/hls: Remove the dead code in  parse_playlist() | a232a72d77cf32766e7f42f892b983f5e496653f 1514328493 avformat/hls: return AVERROR_PROTOCOL_NOT_FOUND when http protocol is not available | 1f0eaa02aa7141f371e095540ac285698a0bdf46 1513982570 avformat/hls: add http_multiple option || log_G_top: 51e3010575ca55ee64ffe3c48087d263e9c1e65f 1522811096 lavf/hls: Remove the dead code in  parse_playlist() | a232a72d77cf32766e7f42f892b983f5e496653f 1514328493 avformat/hls: return AVERROR_PROTOCOL_NOT_FOUND when http protocol is not available | 1f0eaa02aa7141f371e095540ac285698a0bdf46 1513982570 avformat/hls: add http_multiple option || log_follow_top: 0e49118271ce0a3e8911200824032508b5a7de16 1523520298 lavf/hls: use ff_get_chomp_line | 51e3010575ca55ee64ffe3c48087d263e9c1e65f 1522811096 lavf/hls: Remove the dead code in  parse_playlist() | 651d5f963921bbd547373380e1581df9bbc83199 1518003217 avformat/hls: Support metadata updates from subdemuxers,parent=path_missing/unavailable; candidate=path_missing/unavailable,anchor_diff_not_found;candidate_context_not_found;fallback_weakness;parent_context_not_found,P0,,,,,
CVE-2020-13904,FFmpeg,pre-fix-line:0002f876f690452bb4401c02c7e8701cc5f7eb36c88f5eccd0f2b611ddcb2838,fallback,libavformat/hls.c,851,"        } else if (av_strstart(line, ""#"", NULL)) {",cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,e55ebcc3f6cf1f00ffd56ef0f357dc8010c6e046,agreement=all_same; canonical=cd223e0b4e13; normal:found:cd223e0b4e13:236; w:found:cd223e0b4e13:236; M:found:cd223e0b4e13:236; C:found:cd223e0b4e13:236,log_L_top: cd223e0b4e1371d12d6cbb36bb66afdc40fd6281 1282229677 Add Apple HTTP Live Streaming demuxer | diff --git a/libavformat/applehttp.c b/libavformat/applehttp.c | --- /dev/null || log_S_top: ac19e63b184570c0ade4d3a8a785f64441d9cac8 1514328494 avformat/hls: respect http_persistent only for http playlist urls | 2f9ca64556cba9a7edcca9a1c55923a60022937d 1514328493 avformat/hls: remove repeated http proto_name checks in open_url() | b33cf735071cfe07ac60fd8f95e7f1f984005f45 1514145572 avformat/hls: fix memory leak with non-http segments || log_G_top: 97b89432e4566a5d620f97bfdf4c8ae9c83d94e8 1514696875 avformat/hls: ignore http_persistent for segments requring crypto | 1dd82edea5ab689f9a94e14cb2cf6d382cbf9ee6 1514328799 avformat/hls: enable http_multiple only for http/1.1 servers | ac19e63b184570c0ade4d3a8a785f64441d9cac8 1514328494 avformat/hls: respect http_persistent only for http playlist urls || log_follow_top: 0e49118271ce0a3e8911200824032508b5a7de16 1523520298 lavf/hls: use ff_get_chomp_line | 51e3010575ca55ee64ffe3c48087d263e9c1e65f 1522811096 lavf/hls: Remove the dead code in  parse_playlist() | 651d5f963921bbd547373380e1581df9bbc83199 1518003217 avformat/hls: Support metadata updates from subdemuxers,parent=absent_by_event/diff_hunk_mapped; candidate=found/exact_hash,fallback_weakness;parent_context_not_found,P0,,,,,
CVE-2020-13904,FFmpeg,pre-fix-line:0008c6bffbde88d7382eb138aad9bb4d426b586bac7abdffae88b3c77895a821,fallback,libavformat/hls.c,1874,                pls->broken = 1;,4e0860e36305c768c3d97b41d38122e59a18da87,cc61466058ef1689f98067a81d5d4706dac7544a,agreement=all_same; canonical=4e0860e36305; normal:found:4e0860e36305:1821; w:found:4e0860e36305:1821; M:found:4e0860e36305:1821; C:found:4e0860e36305:1821,log_L_top: 4e0860e36305c768c3d97b41d38122e59a18da87 1573634409 avformat/hls: continue to play enabled playlist when have failed playlist | diff --git a/libavformat/hls.c b/libavformat/hls.c | --- a/libavformat/hls.c || log_S_top: 4e0860e36305c768c3d97b41d38122e59a18da87 1573634409 avformat/hls: continue to play enabled playlist when have failed playlist || log_G_top: 4e0860e36305c768c3d97b41d38122e59a18da87 1573634409 avformat/hls: continue to play enabled playlist when have failed playlist || log_follow_top: e929799065413381b049f0707386796beeafb4a4 1592161485 avformat/hls: check segment duration value of EXTINF | 0c37321362a1d359f555cbc65ebcc9770628311e 1592161470 avformat/hls: check output string is usable of ff_make_absolute_url | 37140ebd87f549eae86a5b548d717a1e97203dd6 1590383204 avformat/id3v2: Remove unnecessary indirection,parent=absent_by_event/diff_hunk_mapped; candidate=found/exact_hash,fallback_weakness;parent_context_not_found,P0,,,,,
CVE-2020-13904,FFmpeg,pre-fix-line:00df78cbf490f771e8e032a5947b9d72d89dec748867aff3cbf303b50c622abd,fallback,libavformat/hls.c,1633,"        ret = av_probe_input_buffer(&pls->pb, &in_fmt, pls->segments[0]->url,",9371d70bad2eab6c95df7d182d08e1cc53c6099a,857841c1b63bf3ffacef03da2bd6275d55ead769,agreement=all_same; canonical=9371d70bad2e; normal:found:9371d70bad2e:632; w:found:9371d70bad2e:632; M:found:9371d70bad2e:632; C:found:9371d70bad2e:632,log_L_top: 9371d70bad2eab6c95df7d182d08e1cc53c6099a 1388754348 avformat/hls: decouple playlists from variants | diff --git a/libavformat/hls.c b/libavformat/hls.c | --- a/libavformat/hls.c || log_S_top: 2772258a986fb2da3ca5c6eb423a5024b9e9df27 1329242731 libavformat: Rename the applehttp demuxer to hls || log_G_top: 9371d70bad2eab6c95df7d182d08e1cc53c6099a 1388754348 avformat/hls: decouple playlists from variants | 2772258a986fb2da3ca5c6eb423a5024b9e9df27 1329242731 libavformat: Rename the applehttp demuxer to hls || log_follow_top: 6959358683c7533f586c07a766acc5fe9544d8b2 1593946896 avformat/hls: check segment duration value of EXTINF | 498e07daa18cca6115eb415e592cde3701a2b800 1503877297 avformat/hls: Fix DoS due to infinite loop | e447d3143faab23da9cbe3a7dbf4adec100f938a 1496697414 avformat/hls: Check local file extensions,parent=absent_by_event/diff_hunk_mapped; candidate=found/exact_hash,fallback_weakness;parent_context_not_found,P0,,,,,
CVE-2020-13904,FFmpeg,pre-fix-line:02183be7a8cd9b3868eef1d3c1081242f980cf85a5befda2723d4557b9004400,fallback,libavformat/hls.c,1634,"                                    NULL, 0, 0);",6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,d3964da2c2d5e92b555a89e9650ad5e6c1d10010,agreement=all_same; canonical=6cc7f1398257; normal:found:6cc7f1398257:384; w:found:6cc7f1398257:384; M:found:6cc7f1398257:384; C:found:6cc7f1398257:384,log_L_top: 6cc7f1398257d4ffa89f79d52f10b2cabd9ad232 1301911163 applehttp: Restructure the demuxer to use a custom AVIOContext | diff --git a/libavformat/applehttp.c b/libavformat/applehttp.c | --- a/libavformat/applehttp.c || log_S_top: b7d54d6e072690a62d5ea5ade66ffce6944a5ff4 1452857440 avformat/hls: forbid all protocols except http(s) & file | fcb8ee98f686e86a9adc7df22756136fe423b502 1446225150 avformat/hls: update cookies on setcookie response | 68a6178ef05a7fb16881f0447882d19f6dece025 1444912040 avformat/hls: add support for EXT-X-MAP || log_G_top: e447d3143faab23da9cbe3a7dbf4adec100f938a 1496697414 avformat/hls: Check local file extensions | b7d54d6e072690a62d5ea5ade66ffce6944a5ff4 1452857440 avformat/hls: forbid all protocols except http(s) & file | fcb8ee98f686e86a9adc7df22756136fe423b502 1446225150 avformat/hls: update cookies on setcookie response || log_follow_top: 6959358683c7533f586c07a766acc5fe9544d8b2 1593946896 avformat/hls: check segment duration value of EXTINF | 498e07daa18cca6115eb415e592cde3701a2b800 1503877297 avformat/hls: Fix DoS due to infinite loop | e447d3143faab23da9cbe3a7dbf4adec100f938a 1496697414 avformat/hls: Check local file extensions,parent=absent_by_event/diff_hunk_mapped; candidate=found/exact_hash,fallback_weakness;parent_context_not_found,P0,,,,,
