cve_id,repo,tag,release_line,branch_context_id,vulnerability_predicate_state,fix_predicate_state,fix_reachability_state,boundary_state,function_scope_match_kind,evidence_refs,final_tri_state,final_reason,included_in_primary_prediction
CVE-2020-11647,wireshark,ethereal-0-3-15,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-3-16,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-3-17,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-5-0,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-5-1,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-6-0,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-6-1,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-6-2,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-7-0,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-7-1,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
CVE-2020-11647,wireshark,ethereal-0-7-2,branch-context-v1-2-1:b00b4642f41cf2ad78d8,branch-context-v1-2-1:b00b4642f41cf2ad78d8,unknown,strong_absent,absent,unknown,unavailable,"[""fix:6f56fc9496db158218243ea87e3660c874a0bab0:no"", ""history-event:1da66a2f8e26c85c31662741da9627a21d46891968650212455543b244c54735"", ""history-event:4fedd7b33ffd2fc8fad114643c6a81fdf6f8d7fd6d10d1238f82905fb52f8fb1""]",unknown,all_branch_contexts_unknown:branch_context_membership_unverified,False
